Connector Type,コネクタの種類
"Filtered by ""{0}""",&quot;{0}&quot;でフィルタリング
Hide Copy,コピーを隠す
Friday,金曜日
User,ユーザー
Monthly,毎月
Filter Values,フィルタ値
LDAP Server Url,LDAPサーバーのURL
Destination ID,宛先ID
Fieldname not set for Custom Field,カスタムフィールドにフィールド名が設定されていません
e.g. replies@yourcomany.com. All replies will come to this inbox.,例：replies@yourcomany.com。すべての返信はこの受信箱に届きます。
Standard Print Style cannot be changed. Please duplicate to edit.,標準印刷スタイルは変更できません。編集するには複製してください。
Title Field,タイトルフィールド
Could not connect to outgoing email server,送信メールサーバーに接続できませんでした
File URL,ファイルのURL
Likes,好き
You need to be logged in and have System Manager Role to be able to access backups.,バックアップにアクセスするには、ログインしてシステム管理者の役割を持っている必要があります。
First Level,第一レベル
Short Name,ショートネーム
Permission Rules,許可ルール
Row No,行番号
Email Group Member,メールグループメンバー
Cannot {0} {1},{0} {1}はできません
Please select DocType first,最初にDocTypeを選択してください
Spam,スパム
Google Services,Googleサービス
Save,保存する
Website Sidebar,ウェブサイトのサイドバー
No permission for {0},{0}に対する権限がありません
Your payment has been successfully registered.,お支払いは正常に登録されました。
Import Zip,郵便番号をインポート
Gender,性別
thumbs-down,拒絶
SEO,SEO
Queue should be one of {0},キューは{0}のいずれかでなければなりません
Cannot set Notification on Document Type {0},文書タイプ{0}に通知を設定できません
Adding System Manager to this User as there must be atleast one System Manager,少なくとも1つのシステムマネージャが必要であるため、このユーザにシステムマネージャを追加する
Welcome email sent,ようこそメールを送信しました
Chaining Hash,連鎖ハッシュ
Maintenance Manager,メンテナンスマネージャ
show,見せる
Share URL,共有URL
Set the display label for the field,フィールドの表示ラベルを設定します
Unsupported File Format,サポートされていないファイル形式
Two Factor Authentication,二要素認証
Specify the value of the field,フィールドの値を指定してください
Frappe Framework,フラッペフレームワーク
Commented on {0}: {1},コメント{0}：{1}
Set Value,設定値
Show all Versions,すべてのバージョンを表示
Submit,提出する
This may get printed on multiple pages,これは複数のページに印刷されるかもしれません
Get your globally recognized avatar from Gravatar.com,Gravatar.comからあなたの世界的に認知されたアバターを入手してください
Client ID,クライアントID
Default Letter Head,デフォルトのレターヘッド
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",次の状態やどの役割が状態を変更することを許可されているかなど、状態がどのように遷移であるかに関する規則。
ESC,ESC
"States for workflow (e.g. Draft, Approved, Cancelled).",ワークフローの状態（ドラフト、承認済み、キャンセル済みなど）。
Today,今日
Notification,お知らせ
Show only errors,エラーのみを表示
Review,見直し
Rows Removed,削除された行
Google Credentials,Google認証情報
Or login with,またはでログイン
Record does not exist,レコードが存在しません
New Report name,新しいレポート名
leaf,葉
Invalid Outgoing Mail Server or Port,無効な送信メールサーバーまたはポート
Email Server,メールサーバー
For,にとって
Recipient Unsubscribed,受信者の退会
Download Data,データダウンロード
Unknown Print Format: {0},不明な印刷形式：{0}
Search or Create a New Chat,新しいチャットを検索または作成する
Draft,ドラフト
Assignment Rule User,割り当てルールのユーザー
Madam,マダム
Custom Reports,カスタムレポート
{0} cannot be set for Single types,シングルタイプに{0}は設定できません
Base URL,ベースURL
Web View,Web表示
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this",生成されます。遅延した場合は、手動でこのフィールドの[月に繰り返す]フィールドを変更する必要があります。
Creating {0},{0}を作成しています
List,リスト
th-large,第三大
{0}: Cannot set Assign Submit if not Submittable,{0}：送信可能でない場合、割り当て送信を設定できません
Not Linked to any record,どのレコードにもリンクされていません
Content,コンテンツ
Allow Self Approval,自己承認を許可する
Page has expired!,ページは期限切れです。
Created By,によって作成された
Unread Notification Sent,未読通知を送信しました
Validity,有効
Leave blank for new records,新しいレコードの場合は空白のままにします
Attached To Field,フィールドに添付
Rename many items by uploading a .csv file.,.csvファイルをアップロードして多くのアイテムの名前を変更します。
Optional: The alert will be sent if this expression is true,オプション：この式が真の場合、アラートが送信されます
Backup job is already queued. You will receive an email with the download link,バックアップジョブはすでにキューに入れられています。ダウンロードリンクを記載したEメールが届きます。
SMS Parameter,SMSパラメータ
hand-right,右利き
Banner is above the Top Menu Bar.,バナーはトップメニューバーの上にあります。
Invalid Password,無効なパスワード
1 month ago,1ヶ月前
App Client ID,アプリクライアントID
