Connector Type,Type de connecteur
Chat Room Name,Nom du salon de discussion
Res: {0},Res: {0}
Single Post (article).,Poste unique (article).
Unzipped {0} files,Fichiers décompressés {0}
Report Manager,Gestionnaire de rapports
Link Title,Titre du lien
Failed while amending subscription,Échec lors de la modification de l&#39;abonnement
Share {0} with,Partager {0} avec
Amount,Montant
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,La page que vous recherchez est manquante. Cela peut être dû au fait qu&#39;il est déplacé ou qu&#39;il y a une faute de frappe dans le lien.
Medium,Moyen
Send only if there is any data,Envoyer uniquement s&#39;il y a des données
Continue,Continuer
LDAP Settings,Paramètres LDAP
Webhook Request,Demande de Webhook
Assignment Completed,Affectation terminée
Relink,Relier
Please save the document before assignment,Veuillez sauvegarder le document avant la cession
Meeting,Réunion
DocType or Field,DocType ou champ
Reverse Icon Color,Inverser la couleur de l&#39;icône
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Stocke le JSON des dernières versions connues de diverses applications installées. Il est utilisé pour afficher les notes de publication.
Enable Scheduled Jobs,Activer les travaux planifiés
Invalid Mail Server. Please rectify and try again.,Serveur mail invalide. Veuillez rectifier et réessayer.
More content for the bottom of the page.,Plus de contenu pour le bas de la page.
You are not allowed to delete a standard Website Theme,Vous n&#39;êtes pas autorisé à supprimer un thème de site Web standard.
Please attach an image file to set HTML,Veuillez joindre un fichier image pour définir le code HTML.
Not Equals,Pas égal
Document Status,Statut du document
Seen By Table,Vu par table
"Email ID must be unique, Email Account already exists \
				for {0}","L&#39;ID de messagerie doit être unique, le compte de messagerie existe déjà \ pour {0}"
{0} available out of {1},{0} disponible sur {1}
Select Document Type or Role to start.,Sélectionnez Type de document ou Rôle pour commencer.
us-west-2,us-west-2
Is Single,Est célibataire
Create a New Format,Créer un nouveau format
Endpoint URL,URL du noeud final
Google,Google
Department,département
Please add a subject to your email,S&#39;il vous plaît ajouter un sujet à votre email
exclamation-sign,signe d&#39;exclamation
Average,Moyenne
ok-sign,signe ok
Red,rouge
"If checked, all other workflows become inactive.","Si coché, tous les autres flux de travail deviennent inactifs."
New Email Account,Nouveau compte email
Assign To,Affecter à
List Filter,Filtre de liste
Chart,Graphique
Cannot Remove,Impossible de supprimer
Submit this document to confirm,Soumettez ce document pour confirmer
{0} already exists. Select another name,{0} existe déjà. Sélectionnez un autre nom
You have unsaved changes in this form. Please save before you continue.,Vous avez des modifications non enregistrées dans ce formulaire. Veuillez enregistrer avant de continuer.
Action Failed,Action: échoué
Actions,actes
Applicable Document Types,Types de documents applicables
circle-arrow-right,cercle-flèche-droite
Searching,Recherche
tint,teinte
{0} months ago,Il y a {0} mois
Use socketio to upload file,Utiliser socketio pour uploader un fichier
Password,Mot de passe
Skype,Skype
Open your authentication app on your mobile phone.,Ouvrez votre application d&#39;authentification sur votre téléphone mobile.
Customized HTML Templates for printing transactions.,Modèles HTML personnalisés pour l&#39;impression des transactions.
End Date cannot be before Start Date!,La date de fin ne peut pas être antérieure à la date de début!
In Preview,En aperçu
and uncheck Disabled in the Auto Repeat document,et décochez Disabled dans le document Auto Repeat
File Upload in Progress. Please try again in a few moments.,Téléchargement de fichier en cours. Merci de réessayer dans quelques instants.
Postal Code,code postal
Workflow State,Etat du flux de travail
Tree,Arbre
Milestone Tracker,Milestone Tracker
Your subscription will expire tomorrow.,Votre abonnement expirera demain.
Address Title,Titre de l&#39;adresse
Message Parameter,Paramètre de message
File size exceeded the maximum allowed size of {0} MB,La taille du fichier a dépassé la taille maximale autorisée de {0} Mo
Login and view in Browser,Connexion et affichage dans le navigateur
Define workflows for forms.,Définir les flux de travail pour les formulaires.
Music,La musique
Re: {0},Re: {0}
Report {0} is disabled,Le rapport {0} est désactivé
Theme Colors,Couleurs Thématiques
Use this fieldname to generate title,Utilisez ce nom de champ pour générer le titre
Payments,Paiements
Add Filter,Ajouter un filtre
Status: {0},Statut: {0}
Beta,Bêta
Target,Cible
This could be because of some invalid Email Addresses in the,Cela pourrait être dû à des adresses électroniques non valides dans le
Is Completed,Est terminé
Your Language,Votre langue
Advanced,Avancée
Like,Comme
Add / Manage Email Domains.,Ajouter / Gérer les domaines de messagerie.
Last Week,La semaine dernière
Submitted Document cannot be converted back to draft. Transition row {0},Le document soumis ne peut pas être reconverti en brouillon. Ligne de transition {0}
Hide Footer Signup,Masquer le pied de page
No data found in the file. Please reattach the new file with data.,Aucune donnée trouvée dans le fichier. Veuillez rattacher le nouveau fichier avec les données.
Fieldname {0} conflicting with meta object,Nom du champ {0} en conflit avec le méta-objet
Document Types,Types de documents
Condition,État
Stop,Arrêtez
Send days before or after the reference date,Envoyer des jours avant ou après la date de référence
Email Group List,Liste de groupe de messagerie
us-east-1,us-east-1
If you don't want to create any new records while updating the older records.,Si vous ne souhaitez pas créer de nouveaux enregistrements lors de la mise à jour des anciens enregistrements.
Capitalization doesn't help very much.,La capitalisation n&#39;aide pas beaucoup.
ok-circle,ok-circle
Send Notifications for Email threads,Envoyer des notifications pour les discussions par courrier électronique
Client Key,Clé client
Rule Name,Nom de la règle
Unique,Unique
Series,Séries
Amount Field,Champ de quantité
Select Document Type,Sélectionnez le type de document
Cannot connect: {0},Impossible de se connecter: {0}
Report End Time,Heure de fin du rapport
Cancelling {0},Annulation {0}
Roles Assigned,Rôles assignés
User Permissions are used to limit users to specific records.,Les autorisations utilisateur sont utilisées pour limiter les utilisateurs à des enregistrements spécifiques.
Report Start Time,Signaler l&#39;heure de début
GCalendar Sync ID,ID de synchronisation GCalendar
renamed from {0} to {1},renommé de {0} à {1}
Insert new records,Insérer de nouveaux enregistrements
Razorpay Settings,Paramètres Razorpay
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","Si vous mettez à jour, veuillez sélectionner &quot;Écraser&quot;, sinon les lignes existantes ne seront pas supprimées."
There were errors,Il y avait des erreurs
Display,Afficher
Reply All,Répondre à tous
Subject Field,Domaine
Session Expiry must be in format {0},L&#39;expiration de session doit être au format {0}.
zoom-in,agrandir
Failed to connect to server,échec de connexion au serveur
Date {0} must be in format: {1},La date {0} doit être au format: {1}
Renew / Upgrade,Renouveler / Mettre à niveau
Cannot create a {0} against a child document: {1},Impossible de créer un {0} sur un document enfant: {1}
Select Child Table,Sélectionnez la table des enfants
Link DocType,Lien DocType
Cannot have multiple printers mapped to a single print format.,Impossible d&#39;imprimer plusieurs imprimantes sur un seul format d&#39;impression.
Test_Folder,Test_Folder
Icon will appear on the button,L&#39;icône apparaîtra sur le bouton
Set Role For,Définir le rôle de
No Email Accounts Assigned,Aucun compte de messagerie attribué
Assignment,Affectation
gained by {0} via automatic rule {1},gagné par {0} via la règle automatique {1}
Portal,Portail
Thank you for your email,Merci pour votre courriel
Attach files / urls and add in table.,Joindre des fichiers / URL et ajouter dans le tableau.
Progress,Le progrès
Report updated successfully,Rapport mis à jour avec succès
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",1 devise = [?] Fraction par exemple 1 USD = 100 cents
screenshot,capture d&#39;écran
Reference Party,Partie de référence
Chart Name,Nom du graphique
Show Relapses,Afficher les rechutes
Markdown Editor,Markdown Editor
Label and Type,Étiquette et type
Currency Precision,Précision de devise
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Les autorisations de niveau 0 sont des autorisations de niveau document, c&#39;est-à-dire qu&#39;elles constituent le principal accès au document."
GSuite Settings,Paramètres GSuite
Remote,Éloigné
Thumbnail URL,URL miniature
Download Report,Télécharger le rapport
Customizations for <b>{0}</b> exported to:<br>{1},Personnalisations pour <b>{0}</b> exporté vers: <br> {1}
Calendar Name,Nom du calendrier
No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,Aucun modèle d&#39;adresse par défaut trouvé. Veuillez en créer un nouveau depuis Configuration&gt; Impression et création de marque&gt; Modèle d&#39;adresse.
Your login id is,Votre identifiant de connexion est
Filters Display,Affichage des filtres
{0} criticized {1},{0} critiqué {1}
Jinja,Jinja
Confirm Request,Confirmer la requête
"%s is not a valid report format. Report format should \
				one of the following %s",% s n&#39;est pas un format de rapport valide. Le format du rapport doit \ un des% s suivants
Duplicate,Dupliquer
Open Source Applications for the Web,Applications Open Source pour le Web
Uploaded To Dropbox,Téléchargé sur Dropbox
Max Value,Valeur max
Company,Entreprise
Name of {0} cannot be {1},Le nom de {0} ne peut pas être {1}
This format is used if country specific format is not found,Ce format est utilisé si le format spécifique au pays n’est pas trouvé
About Us Team Member,À propos de nous Membre de l&#39;équipe
fairlogin,fairlogin
Uses the Email Address Name mentioned in this Account as the Sender's Name for all emails sent using this Account.,Utilise le nom d’adresse e-mail mentionné dans ce compte comme nom de l’expéditeur pour tous les courriels envoyés à l’aide de ce compte.
Company Introduction,Présentation De L&#39;Entreprise
"Sub-currency. For e.g. ""Cent""",Sous-devise. Par exemple &quot;Cent&quot;
"Field ""value"" is mandatory. Please specify value to be updated",Le champ &quot;valeur&quot; est obligatoire. Veuillez spécifier la valeur à mettre à jour
{0} appreciated on {1},{0} apprécié le {1}
Run scheduled jobs only if checked,Exécuter les travaux planifiés uniquement si coché
Permanent,Permanent
Select Document Types to set which User Permissions are used to limit access.,Sélectionnez Types de documents pour définir les autorisations utilisateur utilisées pour limiter l&#39;accès.
Ancestors Of,Ancêtres de
Parent Label,Étiquette parent
No comments yet,aucun commentaire pour l&#39;instant
Yesterday,Hier
Arial,Arial
OAuth Authorization Code,Code d&#39;autorisation OAuth
cog,dent
Only standard DocTypes are allowed to be customized from Customize Form.,Seuls les DocTypes standard peuvent être personnalisés à partir de Personnaliser le formulaire.
