Connector Type,કનેક્ટર પ્રકાર
Common names and surnames are easy to guess.,સામાન્ય નામો અને ઉપનામો અનુમાન લગાવવા માટે સરળ છે.
Rgt,આરજીટી
Print with letterhead,લેટરહેડ સાથે છાપો
New value to be set,સુયોજિત કરવા માટે નવું મૂલ્ય
Text Content,ટેક્સ્ટ સામગ્રી
{0} Modules,{0} મોડ્યુલો
Report Builder,રિપોર્ટ બિલ્ડર
download-alt,ડાઉનલોડ-ઑલ્ટ
{0}: Cannot set Assign Amend if not Submittable,{0}: જો સબમિટેબલ ન હોય તો ઍસ્ઇનઇન એમેન્ડ સેટ કરી શકાતું નથી
Field to Track,ટ્રેક કરવા માટે ક્ષેત્ર
Generate Keys,કી પેદા કરો
Unshared,અનશ્રેડેડ
Saved,સાચવેલ
OAuth Client,ઑથ ક્લાયંટ
Disable Standard Email Footer,સ્ટાન્ડર્ડ ઇમેઇલ ફૂટર નિષ્ક્રિય કરો
Print Format {0} is disabled,પ્રિન્ટ ફોર્મેટ {0} અક્ષમ છે
Queued for backup. You will receive an email with the download link,બેકઅપ માટે કતારમાં. તમને ડાઉનલોડ લિંક સાથે ઇમેઇલ પ્રાપ્ત થશે
Third Party Apps,થર્ડ પાર્ટી એપ્લિકેશન્સ
Geo,જીઓ
View All,બધુજ જુઓ
Milestone,માઇલસ્ટોન
Activity log of all users.,બધા વપરાશકર્તાઓની પ્રવૃત્તિ લૉગ.
Query Report,ક્વેરી રિપોર્ટ
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","માન્ય પદ્ધતિઓ પર ટ્રિગર કરો જેમ કે &quot;before_insert&quot;, &quot;after_update&quot;, વગેરે (પસંદ કરેલ ડોકટાઇપ પર આધારિત રહેશે)"
File Manager,ફાઇલ વ્યવસ્થાપક
Cannot change docstatus from 0 to 2,0 થી 2 ની ડોકસ્ટેટસ બદલી શકતા નથી
No permission to {0} {1} {2},{0} {1} {2} ને પરવાનગી નથી
Reason,કારણ
Open a module or tool,મોડ્યુલ અથવા ટૂલ ખોલો
Disable Customer Signup link in Login page,લૉગિન પૃષ્ઠમાં કસ્ટમર સાઇનઅપ લિંકને અક્ષમ કરો
Slack Webhook URL,સ્લેક વેબહૂક URL
Report cannot be set for Single types,એક પ્રકાર માટે રિપોર્ટ સેટ કરી શકાતી નથી
PDF Page Size,પીડીએફ પૃષ્ઠ કદ
City,શહેર
Certificate,પ્રમાણપત્ર
This will permanently remove your data.,આ તમારા ડેટાને કાયમી ધોરણે દૂર કરશે.
warning-sign,ચેતવણી-ચિહ્ન
Entity Name,એન્ટિટી નામ
align-right,સંરેખિત કરો
Last Updated On,છેલ્લે અપડેટ કરેલું
Action,ક્રિયા
Client key is required,ક્લાયંટ કી આવશ્યક છે
Notifications,સૂચનાઓ
mm/dd/yyyy,એમએમ / ડીડી / વાય
Custom Report,કસ્ટમ રિપોર્ટ
info-sign,માહિતી-ચિહ્ન
Chart Type,ચાર્ટ પ્રકાર
Add a tag ...,ટેગ ઉમેરો ...
ap-northeast-2,એ.પી.-ઉત્તરપૂર્વ -2
Setup Notifications based on various criteria.,વિવિધ માપદંડો પર આધારિત સેટઅપ સૂચનાઓ.
Standard Reports,માનક અહેવાલો
"Repeats like ""aaa"" are easy to guess",&quot;Aaa&quot; જેવા પુનરાવર્તિત અનુમાન કરવું સરળ છે
e.g. pop.gmail.com / imap.gmail.com,દા.ત. pop.gmail.com / imap.gmail.com
'Recipients' not specified,&#39;પ્રાપ્તકર્તાઓ&#39; ઉલ્લેખિત નથી
"On {0}, {1} wrote:","{0}, {1} પર લખ્યું:"
{0} are currently viewing this document,{0} હાલમાં આ દસ્તાવેજ જોઈ રહ્યા છે
Contact,સંપર્ક કરો
LDAP Username Field,એલડીએપી વપરાશકર્તાનામ ક્ષેત્ર
Options {0} must be the same as doctype name {1} for the field {2},વિકલ્પો {0} એ ક્ષેત્ર માટે ડોક્ટાઇપ નામ {1} જેવું જ હોવું આવશ્યક છે {2}
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} ફીલ્ડ {1} માં વિશિષ્ટ રૂપે સેટ કરી શકાતા નથી, કારણ કે ત્યાં બિન-અનન્ય અસ્તિત્વમાંના મૂલ્યો છે"
Social Logins,સમાજ પ્રવેશો
Trash,ટ્રૅશ
Secret Key,ગુપ્ત કી
Default Redirect URI,ડિફોલ્ટ રીડાયરેક્ટ યુઆરઆઈ
Adds a custom field to a DocType,ડોકટાઇપમાં કસ્ટમ ફીલ્ડ ઉમેરે છે
Path to private Key File,ખાનગી કી ફાઇલનો પાથ
Download,ડાઉનલોડ કરો
You are not permitted to view the newsletter.,તમને ન્યૂઝલેટર જોવાની પરવાનગી નથી.
Add User Permissions,વપરાશકર્તા પરવાનગીઓ ઉમેરો
Go to this URL after completing the form (only for Guest users),ફોર્મ પૂર્ણ કર્યા પછી આ URL પર જાઓ (ફક્ત ગેસ્ટ વપરાશકર્તાઓ માટે)
Select Column,કૉલમ પસંદ કરો
Every day events should finish on the same day.,દરરોજ ઇવેન્ટ્સ એ જ દિવસે સમાપ્ત થવી જોઈએ.
High,ઉચ્ચ
"Don't know, ask 'help'","ખબર નથી, &#39;મદદ&#39; પૂછો"
Invite as User,વપરાશકર્તા તરીકે આમંત્રિત કરો
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","તમારી ક્વેરી પ્રાપ્ત થઈ છે. અમે ટૂંક સમયમાં જ જવાબ આપીશું. જો તમારી પાસે કોઈ વધારાની માહિતી હોય, તો કૃપા કરીને આ મેઇલનો જવાબ આપો."
Workflow Transition,વર્કફ્લો સંક્રમણ
"Dear System Manager,","પ્રિય સિસ્ટમ વ્યવસ્થાપક,"
Invalid Email Account,અમાન્ય ઇમેઇલ એકાઉન્ટ
Cannot change state of Cancelled Document. Transition row {0},રદ કરેલા દસ્તાવેજની સ્થિતિ બદલી શકાતી નથી. સંક્રમણ પંક્તિ {0}
Highlight,હાઇલાઇટ કરો
Resume Sending,મોકલવાનું ફરી શરૂ કરો
Suspend Sending,મોકલવાનું સસ્પેન્ડ કરો
Search,શોધો
Pending Verification,બાકી ચકાસણી
Doctypes,ડૉકટાઇપ્સ
Send Read Receipt,વાંચો રસીદ મોકલો
Filters JSON,ફિલ્ટર JSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook",વપરાશકર્તા એકવાર ઍક્સેસની પરવાનગી આપે તે પછી તેમજ નિષ્ફળતાના પ્રતિસાદોના એકવાર અધિકૃતતા કોડ પ્રાપ્ત કરવા માટે યુઆરઆઈ. સામાન્ય રીતે ગ્રાહક એપ્લિકેશન દ્વારા જાહેર કરાયેલ REST એન્ડપોઇન્ટ. <br> દા.ત. http: //hostname//api/method/frappe.www.login.login_via_facebook
Banner HTML,બેનર એચટીએમએલ
Seems Publishable Key or Secret Key is wrong !!!,લાગે છે કે પ્રકાશિત કરી શકાય તેવી કી અથવા ગુપ્ત કી ખોટી છે !!!
IP Address,IP સરનામું
Email Sent?,ઇમેઇલ મોકલાય ગયો?
Workflow State not set,વર્કફ્લો રાજ્ય સેટ નથી
Delivery Status,વિતરણ સ્થિતિ
Use IMAP,IMAP નો ઉપયોગ કરો
Based On,પર આધારિત
Only Allow Edit For,ફક્ત માટે પરવાનગી આપો
Sales Manager,વેચાણ મેનેજર
Submit {0} documents?,{0} દસ્તાવેજો સબમિટ કરીએ?
Images,છબીઓ
"Filtered by ""{0}""",&quot;{0}&quot; દ્વારા ફિલ્ટર કરેલું
Hide Copy,કૉપિ છુપાવો
Friday,શુક્રવાર
User,વપરાશકર્તા
Monthly,માસિક
Filter Values,ફિલ્ટર મૂલ્યો
