Connector Type,نوع اتصال
Options {0} must be the same as doctype name {1} for the field {2},گزینه {0} باید همان نام مستعار {1} برای فیلد {2} باشد.
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",{0} فیلد را نمی توان به عنوان منحصر به فرد در {1} تنظیم کرد، زیرا مقادیر موجود غیر منحصر به فرد وجود دارد
Social Logins,ورودی های اجتماعی
Trash,زباله ها
Secret Key,کلید راز
Default Redirect URI,پیش فرض تغییر مسیر URI
Adds a custom field to a DocType,فیلد سفارشی را به DocType اضافه می کند
Path to private Key File,مسیر فایل خصوصی کلید خصوصی
Download,دانلود
You are not permitted to view the newsletter.,شما مجاز به مشاهده این خبرنامه نیستید.
Add User Permissions,مجوزهای کاربر را اضافه کنید
Go to this URL after completing the form (only for Guest users),پس از تکمیل فرم، به این URL بروید (فقط برای کاربران مهمان)
Select Column,ستون را انتخاب کنید
Every day events should finish on the same day.,هر روز رویدادهای روز باید در همان روز به پایان برسد.
High,بالا
"Don't know, ask 'help'",نمی دانم، از &quot;کمک&quot; بپرس
Invite as User,دعوت به عنوان کاربر
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.",درخواست شما دریافت شده است ما مدت کوتاهی پاسخ خواهیم داد. اگر اطلاعات اضافی دارید، لطفا به این ایمیل پاسخ دهید.
Workflow Transition,گذار گردش مالی
"Dear System Manager,",مدیر سیستم معرکه
Invalid Email Account,حساب ایمیل نامعتبر
Cannot change state of Cancelled Document. Transition row {0},نمی توان وضعیت لغو سند را تغییر داد. ردیف انتقال {0}
Highlight,برجسته
Resume Sending,ارسال رزومه
Suspend Sending,تعلیق ارسال
Search,جستجو کردن
Pending Verification,تایید در حال بررسی
Doctypes,Doctypes
Send Read Receipt,ارسال رسید خواندن
Filters JSON,فیلتر JSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook",URI ها برای دریافت کد مجوز زمانی که کاربر اجازه دسترسی، و همچنین پاسخ های شکست را می دهد. به طور معمول نقطه پایانی REST توسط برنامه Client نمایش داده می شود. <br> مثلا http: //hostname//api/method/frappe.www.login.login_via_facebook
Banner HTML,بنر HTML
Seems Publishable Key or Secret Key is wrong !!!,به نظر می رسد کلید انتشار یا کلید راز اشتباه است
IP Address,نشانی آیپی
Email Sent?,ایمیل ارسال شده است؟
Workflow State not set,وضعیت کارکرد تنظیم نشده است
Delivery Status,وضعیت تحویل
Use IMAP,از IMAP استفاده کنید
Based On,بر اساس
Only Allow Edit For,فقط اجازه ویرایش برای
Sales Manager,مدیر فروش
Submit {0} documents?,مدارک ارسال {0}؟
Images,تصاویر
"Filtered by ""{0}""",فیلتر &quot;توسط {0}&quot;
Hide Copy,پنهان کردن کپی
Friday,جمعه
User,کاربر
Monthly,ماهانه
Filter Values,ارزش های فیلتر
LDAP Server Url,آدرس سرور LDAP
Destination ID,شناسه مقصد
Fieldname not set for Custom Field,Fieldname برای فیلد سفارشی تنظیم نشده است
e.g. replies@yourcomany.com. All replies will come to this inbox.,به عنوان مثال replies@yourcomany.com تمام پاسخ ها به این صندوق ورودی می آیند.
Standard Print Style cannot be changed. Please duplicate to edit.,سبک چاپ استاندارد را نمی توان تغییر داد. لطفا برای ویرایش تکراری کنید
Title Field,فیلد عنوان
Could not connect to outgoing email server,نمیتوانست به سرور ایمیل خروجی متصل شود
File URL,نشانی اینترنتی فایل
Likes,دوست دارد
You need to be logged in and have System Manager Role to be able to access backups.,شما باید وارد سیستم شوید و نقش مدیر سیستم را داشته باشید تا قادر به دسترسی به پشتیبان ها باشد.
First Level,سطح اول
Short Name,نام کوتاه
Permission Rules,قوانین مجوز
Row No,ردیف شماره
Email Group Member,عضو گروه ایمیل
Cannot {0} {1},نمی توان {0} {1}
Please select DocType first,لطفا DocType را برای اولین بار انتخاب کنید
Spam,هرزنامه ها
Google Services,خدمات Google
Save,صرفه جویی
Website Sidebar,نوار کناری وب سایت
No permission for {0},بدون اجازه {0}
Your payment has been successfully registered.,پرداخت شما با موفقیت ثبت شده است.
Import Zip,وارد کردن زیپ
Gender,جنسيت
thumbs-down,انگشت شست
SEO,جستجوگرها
Queue should be one of {0},صف باید یکی از {0}
Cannot set Notification on Document Type {0},هشدار در مورد نوع سند تنظیم نمی شود {0}
Adding System Manager to this User as there must be atleast one System Manager,افزودن مدیر سیستم به این کاربر به عنوان یک سیستم مدیریت حداقل باید وجود داشته باشد
Welcome email sent,خوش آمدید ایمیل فرستاده شد
Chaining Hash,چنگ زدن هش
Maintenance Manager,مدیر تعمیر و نگهداری
show,نشان می دهد
Share URL,URL اشتراک گذاری
Set the display label for the field,برچسب نشانگر را برای فیلد تنظیم کنید
Unsupported File Format,فرمت فایل پشتیبانی نشده
Two Factor Authentication,دو عامل تایید هویت
Specify the value of the field,مقدار میدان را مشخص کنید
Frappe Framework,چارچوب Frappe
Commented on {0}: {1},نظر {0}: {1}
Set Value,مقدار را تنظیم کنید
Show all Versions,نمایش تمام نسخه ها
Submit,ارسال
This may get printed on multiple pages,این ممکن است در چندین صفحه چاپ شود
Get your globally recognized avatar from Gravatar.com,نماد شناخته شده جهانی خود را از Gravatar.com دریافت کنید
Client ID,شناسه مشتری
Default Letter Head,پیش فرض نامه سر
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",قوانین چگونگی گذار دولت ها، مانند دولت بعدی و نقش مجاز به تغییر دولت و غیره
ESC,خروج
"States for workflow (e.g. Draft, Approved, Cancelled).",ایالات برای گردش کار (به عنوان مثال پیش نویس، تایید شده، لغو شد).
Today,امروز
Notification,اطلاع
Show only errors,تنها خطاهای نمایش داده شود
Review,مرور
Rows Removed,ردیف حذف شد
Google Credentials,مجوز گوگل
Or login with,یا وارد شوید
Record does not exist,ضبط وجود ندارد
New Report name,نام گزارش جدید
leaf,برگ
Invalid Outgoing Mail Server or Port,سرور یا پورت خروجی نامعتبر است
Email Server,سرور ایمیل
For,برای
Recipient Unsubscribed,گیرنده لغو اشتراک
Download Data,دانلود داده ها
Unknown Print Format: {0},فرمت چاپ نامیش: {0}
Search or Create a New Chat,جستجو یا ایجاد یک گپ جدید
Draft,پیش نویس
Assignment Rule User,اعطای مجوز کاربر
Madam,خانم
Custom Reports,گزارش های سفارشی
{0} cannot be set for Single types,{0} را نمی توان برای انواع مختلف تنظیم کرد
Base URL,URL پایه
Web View,نمایش وب
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this",تولید می شود. اگر به تأخیر افتاده است، باید به صورت دستی قسمت &quot;تکرار در روز ماه&quot; را تغییر دهید
Creating {0},ایجاد {0}
List,فهرست
th-large,هفتم بزرگ
{0}: Cannot set Assign Submit if not Submittable,{0}: نمیتوان تنظیم مجوز ارسال را انجام داد
Not Linked to any record,به هیچ رکوردی مرتبط نیست
Content,محتوا
Allow Self Approval,اجازه تصویب خود را
Page has expired!,صفحه منقضی شده است!
Created By,خلق شده توسط
Unread Notification Sent,اخطار خوانده نشده ارسال شد
Validity,اعتبار
Leave blank for new records,برای رکوردهای جدید خالی بگذارید
Attached To Field,پیوست شده به میدان
Rename many items by uploading a .csv file.,با آپلود یک فایل CSV، بسیاری از موارد را تغییر نام دهید.
Optional: The alert will be sent if this expression is true,اختیاری: اگر این عبارت درست باشد، هشدار ارسال خواهد شد
