Connector Type,Tilslutningstype
This may get printed on multiple pages,Dette kan blive udskrevet på flere sider
Get your globally recognized avatar from Gravatar.com,Få din globalt anerkendte avatar fra Gravatar.com
Client ID,Klient-id
Default Letter Head,Standard brevhoved
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regler for hvordan stater er overgange, som næste stat, og hvilken rolle har lov til at ændre stat osv."
ESC,ESC
"States for workflow (e.g. Draft, Approved, Cancelled).","Stater til arbejdsgang (fx Udkast, Godkendt, Annulleret)."
Today,I dag
Notification,Notifikation
Show only errors,Vis kun fejl
Review,Anmeldelse
Rows Removed,Rækker fjernet
Google Credentials,Google-legitimationsoplysninger
Or login with,Eller log ind med
Record does not exist,Optag findes ikke
New Report name,Nyt rapportnavn
leaf,blad
Invalid Outgoing Mail Server or Port,Ugyldig Udgående Mail Server eller Port
Email Server,E-mail-server
For,Til
Recipient Unsubscribed,Modtager Afmeldt
Download Data,Download data
Unknown Print Format: {0},Ukendt udskrivningsformat: {0}
Search or Create a New Chat,Søg eller Opret en ny chat
Draft,Udkast
Assignment Rule User,Brugerregelbruger
Madam,Fru
Custom Reports,Brugerdefinerede rapporter
{0} cannot be set for Single types,{0} kan ikke indstilles til Single typer
Base URL,Basiswebadresse
Web View,Webvisning
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","at blive genereret. Hvis forsinket, skal du manuelt ændre feltet &quot;Gentag på dag i måneden&quot; her"
Creating {0},Oprettelse af {0}
List,Liste
th-large,th-large
{0}: Cannot set Assign Submit if not Submittable,{0}: Kan ikke indstille Tilknyt Indsend hvis ikke Submitterbar
Not Linked to any record,Ikke knyttet til nogen post
Content,Indhold
Allow Self Approval,Tillad selv godkendelse
Page has expired!,Siden er udløbet!
Created By,Lavet af
Unread Notification Sent,Ulæste meddelelser sendt
Validity,Gyldighed
Leave blank for new records,Forlad blank for nye poster
Attached To Field,Vedhæftet til felt
Rename many items by uploading a .csv file.,Omdøb mange elementer ved at uploade en .csv-fil.
Optional: The alert will be sent if this expression is true,"Valgfrit: Advarslen vil blive sendt, hvis dette udtryk er sandt"
Backup job is already queued. You will receive an email with the download link,Backup job er allerede i kø. Du vil modtage en email med downloadlinket
SMS Parameter,SMS Parameter
hand-right,hånd-højre
Banner is above the Top Menu Bar.,Banner er over øverste menulinje.
Invalid Password,forkert kodeord
1 month ago,1 måned siden
App Client ID,App Client ID
Currency,betalingsmiddel
Banner,Banner
Document Type,dokument type
Folder name should not include '/' (slash),Mappenavnet skal ikke indeholde &#39;/&#39; (skråstreg)
Simultaneous Sessions,Samtidige sessioner
Add a new section,Tilføj en ny sektion
Goal,Mål
CSS,CSS
"If a Role does not have access at Level 0, then higher levels are meaningless.","Hvis en rolle ikke har adgang til niveau 0, er højere niveauer meningsløse."
Reference Type,Reference Type
"Allowing DocType, DocType. Be careful!","Tillader DocType, DocType. Vær forsigtig!"
Domain Settings,Domain Settings
Dynamic Report Filters,Dynamiske rapportfiltre
Appreciation,Påskønnelse
{0} must be set first,{0} skal indstilles først
Chat Room Name,Chat Room Name
Res: {0},Res: {0}
Single Post (article).,Single Post (artikel).
Unzipped {0} files,Udpakket {0} filer
Report Manager,Rapport Manager
Link Title,Link Titel
Failed while amending subscription,Fejlede under ændring af abonnement
Share {0} with,Del {0} med
Amount,Beløb
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,"Siden du leder efter mangler. Dette kan skyldes, at det er flyttet, eller der er en skrivefelt i linket."
Medium,Medium
Send only if there is any data,Send kun hvis der er nogen data
Continue,Blive ved
LDAP Settings,LDAP-indstillinger
Webhook Request,Webhook Request
Assignment Completed,Opgave Afsluttet
Relink,Sammenlænk igen
Please save the document before assignment,Gem venligst dokumentet før tildeling
Meeting,Møde
DocType or Field,DocType eller Field
Reverse Icon Color,Omvendt ikonfarve
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Gemmer JSON af sidst kendte versioner af forskellige installerede apps. Det bruges til at vise udgivelsesnotater.
Enable Scheduled Jobs,Aktivér planlagte job
Invalid Mail Server. Please rectify and try again.,Ugyldig postserver. Ret venligst og prøv igen.
More content for the bottom of the page.,Mere indhold nederst på siden.
You are not allowed to delete a standard Website Theme,Du må ikke slette et standard webstedstema
Please attach an image file to set HTML,Vedhæft venligst en billedfil for at indstille HTML
Not Equals,Ikke lig med
Document Status,Dokumentstatus
Seen By Table,Set ved tabel
"Email ID must be unique, Email Account already exists \
				for {0}","E-mail-id skal være unikt, E-mail-konto eksisterer allerede \ for {0}"
{0} available out of {1},{0} tilgængelig ud af {1}
Select Document Type or Role to start.,Vælg Dokumenttype eller Rolle for at starte.
us-west-2,os-vest-2
"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')",Skift type af felt. (For øjeblikket er Type ændring tilladt under &#39;Valuta og Float&#39;)
Is Single,Er Single
Create a New Format,Opret et nyt format
Endpoint URL,Endpoint URL
Google,Google
Department,Afdeling
Please add a subject to your email,Tilføj venligst et emne til din email
exclamation-sign,udråbstegn-skilt
Average,Gennemsnit
ok-sign,ok-tegn
Red,Rød
"If checked, all other workflows become inactive.","Hvis markeret, bliver alle andre arbejdsgange inaktive."
New Email Account,Ny e-mail-konto
Assign To,Tildel til
List Filter,List Filter
Chart,Diagram
Cannot Remove,Kan ikke fjerne
Submit this document to confirm,Indsend dette dokument for at bekræfte
{0} already exists. Select another name,{0} eksisterer allerede. Vælg et andet navn
You have unsaved changes in this form. Please save before you continue.,Du har ikke-gemte ændringer i denne formular. Gem venligst før du fortsætter.
Action Failed,Handling mislykkedes
Actions,Handlinger
Applicable Document Types,Gældende dokumenttyper
circle-arrow-right,cirkel-pil-højre
Searching,Søger
tint,toning
{0} months ago,{0} måneder siden
Use socketio to upload file,Brug socketio til at uploade filen
Password,Adgangskode
Skype,Skype
Open your authentication app on your mobile phone.,Åbn din autentificeringsapp på din mobiltelefon.
Customized HTML Templates for printing transactions.,Tilpassede HTML-skabeloner til udskrivningstransaktioner.
End Date cannot be before Start Date!,Slutdato kan ikke være før startdato!
In Preview,I Preview
and uncheck Disabled in the Auto Repeat document,og fjern markeringen i Deaktiveret i dokumentet Automatisk gentagelse
File Upload in Progress. Please try again in a few moments.,Filoploading i gang. Prøv igen om et øjeblik.
Postal Code,postnummer
Workflow State,Workflow State
Tree,Træ
Milestone Tracker,Milestone Tracker
Your subscription will expire tomorrow.,Dit abonnement udløber i morgen.
Address Title,Adressetitel
Message Parameter,Meddelelsesparameter
File size exceeded the maximum allowed size of {0} MB,Filstørrelsen oversteg den maksimalt tilladte størrelse på {0} MB
Login and view in Browser,Login og visning i Browser
Define workflows for forms.,Definer arbejdsgange for formularer.
Music,musik
Re: {0},Re: {0}
Report {0} is disabled,Rapport {0} er deaktiveret
Theme Colors,Tema Farver
Use this fieldname to generate title,Brug dette feltnavn til at generere titel
Payments,Betalinger
Add Filter,Tilføj filter
Status: {0},Status: {0}
Beta,Beta
Target,Mål
This could be because of some invalid Email Addresses in the,Dette kan skyldes nogle ugyldige e-mailadresser i
Is Completed,Er afsluttet
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,E-mail-konto er ikke konfigureret. Opret en ny e-mail-konto fra Opsætning&gt; Email&gt; E-mail-konto
Your Language,Dit sprog
Advanced,Fremskreden
Like,Synes godt om
Add / Manage Email Domains.,Tilføj / Administrer Email Domains.
Last Week,Sidste uge
Press Esc to close,Tryk på Esc for at lukke
Submitted Document cannot be converted back to draft. Transition row {0},Indsendt dokument kan ikke konverteres tilbage til udkast. Overgangsrække {0}
Hide Footer Signup,Skjul footer-registrering
No data found in the file. Please reattach the new file with data.,Ingen data fundet i filen. Genindsæt venligst den nye fil med data.
Fieldname {0} conflicting with meta object,Feltnavn {0} står i konflikt med metaobjekt
Document Types,Dokumenttyper
Condition,Tilstand
Stop,Hold op
Send days before or after the reference date,Send dage før eller efter referencedato
Email Group List,Email Gruppeliste
us-east-1,os-øst-1
If you don't want to create any new records while updating the older records.,"Hvis du ikke vil oprette nye filer, mens du opdaterer de ældre poster."
Capitalization doesn't help very much.,Kapitalisering hjælper ikke meget.
Hide field in form,Skjul felt i formularen
ok-circle,ok-cirkel
Send Notifications for Email threads,Send meddelelser til e-mail-tråde
Client Key,Client Key
Rule Name,Regelnavn
Unique,Enestående
Series,Serie
Amount Field,Beløb felt
Select Document Type,Vælg dokumenttype
Cannot connect: {0},Kan ikke forbinde: {0}
Report End Time,Rapport Slut Tid
Cancelling {0},Annullering {0}
Roles Assigned,Roller tildelt
User Permissions are used to limit users to specific records.,Bruger tilladelser bruges til at begrænse brugere til specifikke poster.
Report Start Time,Rapport Starttid
GCalendar Sync ID,GCalendar Sync ID
renamed from {0} to {1},omdøbt fra {0} til {1}
Insert new records,Indsæt nye poster
Razorpay Settings,Razorpay Indstillinger
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","Hvis du opdaterer, vælg venligst &quot;Overwrite&quot; ellers vil eksisterende rækker ikke slettes."
There were errors,Der var fejl
Display,Skærm
Reply All,Svar alle
Subject Field,Emnefelt
Session Expiry must be in format {0},Sessionens udløb skal være i format {0}
zoom-in,Zoom ind
Failed to connect to server,Det lykkedes ikke at oprette forbindelse til serveren
Date {0} must be in format: {1},Dato {0} skal være i format: {1}
Renew / Upgrade,Forny / Opgrader
Cannot create a {0} against a child document: {1},Kan ikke oprette en {0} mod et barnedokument: {1}
Select Child Table,Vælg børnetabel
Link DocType,Link DocType
Mark the field as Mandatory,Marker feltet som obligatorisk
Cannot have multiple printers mapped to a single print format.,Kan ikke have flere printere kortlagt til et enkelt udskriftsformat.
Test_Folder,Test_Folder
Icon will appear on the button,Ikonet vises på knappen
Set Role For,Sæt rolle for
No Email Accounts Assigned,Ingen e-mail-konti tildelt
Assignment,Opgave
gained by {0} via automatic rule {1},opnået ved {0} via automatisk regel {1}
Portal,Portal
Thank you for your email,Tak for din e-mail
Attach files / urls and add in table.,Vedhæft filer / urls og tilføj i tabel.
Progress,Fremskridt
Report updated successfully,Rapport opdateret med succes
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",1 Valuta = [?] Fraktion For f.eks. 1 USD = 100 Cent
screenshot,skærmbillede
Reference Party,Referenceparti
Chart Name,Diagramnavn
Show Relapses,Vis tilbagefald
Markdown Editor,Markdown Editor
Label and Type,Etiket og type
Currency Precision,Valuta Præcision
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Tilladelser på niveau 0 er tilladelser til dokumentniveau, dvs. de er primære for adgang til dokumentet."
GSuite Settings,GSuite Indstillinger
Remote,Fjern
Thumbnail URL,Thumbnail URL
Download Report,Download rapport
Customizations for <b>{0}</b> exported to:<br>{1},Tilpasninger til <b>{0}</b> eksporteret til: <br> {1}
Calendar Name,Kalendernavn
Your login id is,Dit login id er
Filters Display,Filtre Display
{0} criticized {1},{0} kritiseret {1}
Jinja,Jinja
Confirm Request,Bekræft anmodning
"%s is not a valid report format. Report format should \
				one of the following %s",% s er ikke et gyldigt rapportformat. Rapportformat skal \ en af følgende% s
Duplicate,Duplikere
Open Source Applications for the Web,Open Source-applikationer til internettet
Uploaded To Dropbox,Uploadet til Dropbox
Max Value,Maks. Værdi
Company,Selskab
Specify a default value,Angiv en standardværdi
Name of {0} cannot be {1},Navnet på {0} kan ikke være {1}
This format is used if country specific format is not found,"Dette format bruges, hvis landspecifikke format ikke findes"
About Us Team Member,Om os Teammedlem
fairlogin,fairlogin
Uses the Email Address Name mentioned in this Account as the Sender's Name for all emails sent using this Account.,"Bruger det e-mail-navn, der er nævnt i denne konto, som afsenderens navn for alle e-mails, der sendes ved hjælp af denne konto."
Company Introduction,firma introduktion
"Sub-currency. For e.g. ""Cent""",Sub-valuta. For eksempel &quot;Cent&quot;
"Field ""value"" is mandatory. Please specify value to be updated","Felt &quot;værdi&quot; er obligatorisk. Angiv venligst værdi, der skal opdateres"
{0} appreciated on {1},{0} værdsat på {1}
Run scheduled jobs only if checked,"Kør kun planlagte job, hvis det er markeret"
Permanent,Permanent
Select Document Types to set which User Permissions are used to limit access.,"Vælg Dokumenttyper for at indstille hvilke Bruger Tilladelser, der bruges til at begrænse adgangen."
