Connector Type,Typ konektora
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","generovať. Ak je oneskorenie, budete musieť ručne zmeniť &quot;Repeat on Day of Month&quot; pole tohto"
Creating {0},Vytvorenie {0}
List,zoznam
th-large,th-veľké
{0}: Cannot set Assign Submit if not Submittable,"{0}: Nie je možné nastaviť priradenie priradenia, ak nie je možné odoslať"
Not Linked to any record,Neprepojené k žiadnemu záznamu
Content,obsah
Allow Self Approval,Povoliť vlastné schválenie
Page has expired!,Platnosť stránky vypršala!
Created By,Vytvoril
Unread Notification Sent,Neprečítané upozornenie odoslané
Validity,platnosť
Leave blank for new records,Nechajte prázdne pre nové záznamy
Attached To Field,Pripojené k poli
Rename many items by uploading a .csv file.,Premenujte mnoho položiek odovzdaním súboru .csv.
Optional: The alert will be sent if this expression is true,"Voliteľné: Upozornenie bude odoslané, ak je tento výraz pravdivý"
Backup job is already queued. You will receive an email with the download link,Úloha zálohovania je už vo fronte. Dostanete e-mail s odkazom na prevzatie
SMS Parameter,Parameter SMS
hand-right,hand-right
Banner is above the Top Menu Bar.,Banner je nad lištou Top Menu.
Invalid Password,nesprávne heslo
1 month ago,Pred 1 mesiacom
App Client ID,ID klienta aplikácie
Currency,mena
Banner,prápor
Document Type,typ dokumentu
Folder name should not include '/' (slash),Názov priečinka by nemal obsahovať znak „/“ (lomka)
Simultaneous Sessions,Simultánne sedenia
Add a new section,Pridať novú sekciu
Goal,Cieľ
CSS,CSS
"If a Role does not have access at Level 0, then higher levels are meaningless.","Ak Role nemá prístup na úrovni 0, vyššie úrovne sú bezvýznamné."
Reference Type,Referenčný typ
"Allowing DocType, DocType. Be careful!","Povolenie DocType, DocType. Buď opatrný!"
Domain Settings,Nastavenia domény
Dynamic Report Filters,Filtre dynamických prehľadov
Appreciation,ocenenie
Setup &gt; User,Nastavenie&gt; Používateľ
{0} must be set first,Najprv musí byť nastavené {0}
Chat Room Name,Názov miestnosti rozhovoru
Res: {0},Res: {0}
Single Post (article).,Single Post (článok).
Unzipped {0} files,Rozbalené súbory {0}
Report Manager,Správca prehľadov
Link Title,Názov odkazu
Failed while amending subscription,Nepodarilo sa pri zmene predplatného
Share {0} with,Zdieľať {0} s
Amount,čiastka
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,"Chýba stránka, ktorú hľadáte. Mohlo by to byť preto, že sa presunie alebo je v prepojení preklep."
Medium,stredná
Send only if there is any data,"Odosielajte iba v prípade, že existujú nejaké údaje"
Continue,ďalej
LDAP Settings,Nastavenia LDAP
Webhook Request,Požiadavka Webhook
Assignment Completed,Dokončenie úlohy
Relink,Relink
Please save the document before assignment,Uložte dokument pred priradením
Meeting,stretnutie
DocType or Field,DocType alebo Field
Reverse Icon Color,Reverzná ikona Farba
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Uloží JSON posledných známych verzií rôznych nainštalovaných aplikácií. Používa sa na zobrazenie poznámok k vydaniu.
Enable Scheduled Jobs,Povoliť naplánované úlohy
Invalid Mail Server. Please rectify and try again.,Neplatný poštový server. Opravte to a skúste to znova.
More content for the bottom of the page.,Viac obsahu pre spodnú časť stránky.
You are not allowed to delete a standard Website Theme,Nemáte povolenie vymazať štandardnú tému webových stránok
Please attach an image file to set HTML,Pripojte súbor s obrázkom na nastavenie kódu HTML
Not Equals,Nie je to rovnaké
Document Status,Stav dokumentu
Seen By Table,Podľa tabuľky
{0} available out of {1},{0} k dispozícii z {1}
Select Document Type or Role to start.,Začnite výberom položky Typ dokumentu alebo Úloha.
us-west-2,us-západ-2
Is Single,Je sám
Create a New Format,Vytvorte nový formát
Endpoint URL,URL koncového bodu
Google,Google
Department,oddelenie
Please add a subject to your email,Pridajte predmet do svojho e-mailu
exclamation-sign,výkričník-sign
Average,priemerný
ok-sign,ok-sign
Red,červená
"If checked, all other workflows become inactive.","Ak je začiarknuté, všetky ostatné pracovné postupy sa stanú neaktívnymi."
New Email Account,Nový e-mailový účet
Assign To,Priradiť
List Filter,Filter zoznamu
Chart,graf
Cannot Remove,Nie je možné odstrániť
Submit this document to confirm,Potvrďte tento dokument
{0} already exists. Select another name,{0} už existuje. Vyberte iný názov
You have unsaved changes in this form. Please save before you continue.,V tomto formulári máte neuložené zmeny. Pred pokračovaním uložte.
Action Failed,Akcia zlyhala
Actions,Akcia
Applicable Document Types,Platné typy dokumentov
circle-arrow-right,krúžku so šípkou-right
Searching,vyhľadávanie
tint,nádych
{0} months ago,{0} pred mesiacmi
Use socketio to upload file,Na nahranie súboru použite socketio
Password,heslo
Skype,skype
Open your authentication app on your mobile phone.,Otvorte v mobilnom telefóne aplikáciu na overovanie pravosti.
Customized HTML Templates for printing transactions.,Prispôsobené šablóny HTML pre tlačové transakcie.
End Date cannot be before Start Date!,Dátum ukončenia nemôže byť pred dátumom začiatku!
In Preview,V náhľade
and uncheck Disabled in the Auto Repeat document,a zrušte začiarknutie políčka Disabled v dokumente Auto Repeat
File Upload in Progress. Please try again in a few moments.,Prebieha odovzdávanie súborov. Skúste to znova o chvíľu.
Postal Code,poštové smerovacie číslo
Workflow State,Stav pracovného toku
Tree,strom
Milestone Tracker,Milestone Tracker
Your subscription will expire tomorrow.,Platnosť predplatného vyprší zajtra.
Address Title,Názov adresy
Message Parameter,Parameter správy
File size exceeded the maximum allowed size of {0} MB,Veľkosť súboru presiahla maximálnu povolenú veľkosť {0} MB
Login and view in Browser,Prihlásenie a zobrazenie v prehliadači
Define workflows for forms.,Definujte pracovné postupy pre formuláre.
Music,hudba
Re: {0},Re: {0}
Report {0} is disabled,Správa {0} je zakázaná
Theme Colors,Farby tém
Use this fieldname to generate title,Použite tento názov poľa na vygenerovanie názvu
Payments,platby
Add Filter,Pridať filter
Status: {0},Stav: {0}
Beta,beta
Target,terč
This could be because of some invalid Email Addresses in the,Môže to byť spôsobené neplatnými e-mailovými adresami v doméne
Is Completed,Je dokončená
Your Language,Tvoj jazyk
Advanced,pokročilý
Like,Páči sa mi to
Add / Manage Email Domains.,Pridať / Spravovať e-mailové domény.
Last Week,Minulý týždeň
Submitted Document cannot be converted back to draft. Transition row {0},Odoslaný dokument nie je možné previesť späť na koncept. Riadok prechodu {0}
Hide Footer Signup,Skryť päty Signup
No data found in the file. Please reattach the new file with data.,V súbore neboli nájdené žiadne údaje. Znova pripojte nový súbor s údajmi.
Fieldname {0} conflicting with meta object,Fieldname {0} je v rozpore s meta objektom
Document Types,Typy dokumentov
Condition,podmienka
Stop,prestať
Send days before or after the reference date,Poslať dni pred referenčným dátumom alebo po ňom
Email Group List,Zoznam e-mailových skupín
us-east-1,us-east-1
If you don't want to create any new records while updating the older records.,Ak počas aktualizácie starších záznamov nechcete vytvárať žiadne nové záznamy.
Capitalization doesn't help very much.,Kapitalizácia moc nepomôže.
ok-circle,ok-circle
Send Notifications for Email threads,Posielať upozornenia na vlákna e-mailu
Client Key,Klientský kľúč
Rule Name,Názov pravidla
Unique,jedinečný
Series,séria
Amount Field,Pole množstva
Select Document Type,Vyberte Typ dokumentu
Cannot connect: {0},Nedá sa pripojiť: {0}
Report End Time,Čas ukončenia prehľadu
Cancelling {0},Zrušenie {0}
Roles Assigned,Role priradené
User Permissions are used to limit users to specific records.,Používateľské povolenia sa používajú na obmedzenie používateľov na konkrétne záznamy.
Report Start Time,Čas začiatku prehľadu
GCalendar Sync ID,ID synchronizácie služby GCalendar
renamed from {0} to {1},premenované z {0} na {1}
Insert new records,Vložte nové záznamy
Razorpay Settings,Nastavenia Razorpay
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","Ak aktualizujete, vyberte možnosť „Prepísať“, inak sa existujúce riadky neodstránia."
There were errors,Vyskytli sa chyby
Display,zobraziť
Reply All,Odpovedať všetkým
Subject Field,Predmetové pole
Session Expiry must be in format {0},Ukončenie relácie musí byť vo formáte {0}
zoom-in,priblížiť
Failed to connect to server,Nepodarilo sa pripojiť k serveru
Date {0} must be in format: {1},Dátum {0} musí byť vo formáte: {1}
Renew / Upgrade,Obnoviť / aktualizovať
Cannot create a {0} against a child document: {1},Nedá sa vytvoriť {0} proti podriadenému dokumentu: {1}
Select Child Table,Vyberte položku Tabuľka pre deti
Link DocType,Link DocType
Cannot have multiple printers mapped to a single print format.,Nie je možné mapovať viacero tlačiarní do jedného tlačového formátu.
Test_Folder,Test_Folder
Icon will appear on the button,Na tlačidle sa zobrazí ikona
Set Role For,Nastavte Role For
No Email Accounts Assigned,Nie sú priradené žiadne e-mailové kontá
Assignment,prideľovanie
gained by {0} via automatic rule {1},získané {0} prostredníctvom automatického pravidla {1}
Portal,portál
Thank you for your email,Ďakujem za Váš e-mail
Attach files / urls and add in table.,Pripojte súbory / adresy URL a pridajte ich do tabuľky.
Progress,pokrok
Report updated successfully,Prehľad bol úspešne aktualizovaný
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",1 Mena = [?] Frakcia Napríklad za 1 USD = 100 centov
screenshot,screenshot
Reference Party,Referenčná strana
Chart Name,Názov grafu
Show Relapses,Zobraziť relácie
Markdown Editor,Markdown Editor
Label and Type,Štítok a typ
Currency Precision,Mena Precision
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Povolenia na úrovni 0 sú povolenia na úrovni dokumentu, tj sú primárne pre prístup k dokumentu."
GSuite Settings,Nastavenia GSuite
Remote,diaľkový
Thumbnail URL,Adresa URL miniatúry
Download Report,Download Report
Customizations for <b>{0}</b> exported to:<br>{1},Prispôsobenia pre <b>{0} sa</b> exportovali do: <br> {1}
Calendar Name,Názov kalendára
No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,Nenašla sa žiadna predvolená šablóna adresy. Vytvorte novú z ponuky Nastavenie&gt; Tlač a branding&gt; Šablóna adresy.
Your login id is,Vaše prihlasovacie ID je
Filters Display,Zobraziť filtre
{0} criticized {1},{0} kritizované {1}
Jinja,Jinja
Confirm Request,Potvrdiť požiadavku
"%s is not a valid report format. Report format should \
				one of the following %s",% s nie je platný formát prehľadu. Formát správy by mal byť jeden z nasledujúcich% s
Duplicate,duplikát
Open Source Applications for the Web,Open Source aplikácie pre web
Uploaded To Dropbox,Odovzdané do priečinka Dropbox
Max Value,Max
Company,spoločnosť
Name of {0} cannot be {1},Meno {0} nemôže byť {1}
This format is used if country specific format is not found,"Tento formát sa používa, ak sa nenašiel formát špecifický pre danú krajinu"
About Us Team Member,O nás Člen tímu
fairlogin,fairlogin
Uses the Email Address Name mentioned in this Account as the Sender's Name for all emails sent using this Account.,Používa meno e-mailovej adresy uvedené v tomto účte ako meno odosielateľa pre všetky e-maily odoslané pomocou tohto účtu.
Company Introduction,Predstavenie spoločnosti
"Sub-currency. For e.g. ""Cent""",Sub-mena. Pre napr.
"Field ""value"" is mandatory. Please specify value to be updated","Pole „hodnota“ je povinné. Zadajte hodnotu, ktorá sa má aktualizovať"
{0} appreciated on {1},{0} ocenené {1}
Run scheduled jobs only if checked,"Spúšťajte naplánované úlohy iba v prípade, ak je začiarknuté"
Permanent,stály
Select Document Types to set which User Permissions are used to limit access.,"Výberom položky Typy dokumentov nastavíte, ktoré oprávnenia používateľa sa použijú na obmedzenie prístupu."
Ancestors Of,Predkovia z
Parent Label,Rodičovský štítok
No comments yet,Zatiaľ žiadne komentáre
Yesterday,včera
Arial,Arial
OAuth Authorization Code,Autorizačný kód OAuth
cog,zub
Only standard DocTypes are allowed to be customized from Customize Form.,Z prispôsobeného formulára môžu byť prispôsobené len štandardné dokumenty DocTypes.
dd/mm/yyyy,dd / mm / rrrr
Saving,sporenia
Allow Dropbox Access,Povoliť Dropbox Access
Success Action,Úspech
System Settings,Systémové nastavenia
Retake,opakovanie
Please enter a valid email address.,Prosím zadajte platnú emailovú adresu.
Core DocTypes cannot be customized.,Core DocTypes nie je možné prispôsobiť.
Language,Jazyk
 to your browser,do prehliadača
"Simple Python Expression, Example: Status in (""Closed"", ""Cancelled"")","Jednoduchý výraz Python, Príklad: Stav v („Zatvorené“, „Zrušené“)"
Go to {0},Prejsť na {0}
Image field must be a valid fieldname,Pole obrázku musí byť platné
You need to be logged in to access this page,"Ak chcete získať prístup na túto stránku, musíte byť prihlásený"
Example: {{ subject }},Príklad: {{subject}}
You cannot unset 'Read Only' for field {0},Pre pole {0} nemôžete zrušiť nastavenie položky Iba na čítanie
Enable Social Login,Povoliť sociálne prihlásenie
Rules defining transition of state in the workflow.,Pravidlá definujúce prechod stavu v pracovnom toku.
eu-west-1,eu-západ-1
Your subscription will expire today.,Platnosť vášho predplatného vyprší dnes.
You are not allowed to create columns,Nemáte povolenie vytvárať stĺpce
