Connector Type,Liittimen tyyppi
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","URI: t valtuutuskoodin vastaanottamiseksi, kun käyttäjä sallii pääsyn, sekä vikailmoitukset. Tyypillisesti REST-päätepiste, jonka asiakas-sovellus paljastaa. <br> esim. http: //hostname//api/method/frappe.www.login.login_via_facebook"
Banner HTML,Banner HTML
Seems Publishable Key or Secret Key is wrong !!!,Näyttää julkaistavan avaimen tai salaisen avaimen olevan väärässä!
IP Address,IP-osoite
Email Sent?,Sähköposti lähetetty?
Workflow State not set,Työnkulun tila ei ole asetettu
Delivery Status,Toimituksen tila
Use IMAP,Käytä IMAP-protokollaa
Based On,Perustuen
Only Allow Edit For,Salli vain muokkaa
Sales Manager,Myyntipäällikkö
Submit {0} documents?,Lähetä {0} asiakirjoja?
Images,kuvat
"Filtered by ""{0}""",Suodatettu &quot;{0}&quot;
Hide Copy,Piilota kopio
Friday,perjantai
User,käyttäjä
Monthly,Kuukausittain
Filter Values,Suodata arvot
LDAP Server Url,LDAP-palvelimen URL-osoite
Destination ID,Kohdetunnus
Fieldname not set for Custom Field,Kentän nimi ei ole määritetty mukautetulle kentälle
e.g. replies@yourcomany.com. All replies will come to this inbox.,esim. vastaukset@yourcomany.com. Kaikki vastaukset tulevat tähän postilaatikkoon.
Standard Print Style cannot be changed. Please duplicate to edit.,Normaalia tulostustyyliä ei voi muuttaa. Kopioi muokkaus.
Title Field,Otsikkokenttä
Could not connect to outgoing email server,Lähtevään sähköpostipalvelimeen ei voitu muodostaa yhteyttä
File URL,Tiedoston URL-osoite
Likes,tykkää
You need to be logged in and have System Manager Role to be able to access backups.,Sinun täytyy olla kirjautuneena ja järjestelmänvalvojan roolilla voit käyttää varmuuskopioita.
First Level,Ensimmäinen taso
Short Name,Lyhyt nimi
Permission Rules,Lupasäännöt
Row No,Rivi Ei
Email Group Member,Sähköpostiryhmän jäsen
Cannot {0} {1},Ei voi {0} {1}
Please select DocType first,Valitse ensin DocType
Spam,roskapostin
Google Services,Google-palvelut
Save,Tallentaa
Website Sidebar,Verkkosivun sivupalkki
No permission for {0},Ei lupaa {0}
Your payment has been successfully registered.,Maksu on rekisteröity.
Import Zip,Tuo Zip
Gender,sukupuoli
thumbs-down,peukut alas
SEO,SEO
Queue should be one of {0},Jonon pitäisi olla yksi {0}
Cannot set Notification on Document Type {0},Ilmoitusta ei voi asettaa asiakirjatyypille {0}
Adding System Manager to this User as there must be atleast one System Manager,"Järjestelmänhallinnan lisääminen tähän käyttäjään, koska järjestelmänvalvojan on oltava vähintään yksi"
Welcome email sent,Tervetuloa sähköposti lähetetty
Chaining Hash,Chaining Hash
Maintenance Manager,huoltomies
show,show
Share URL,Jaa URL-osoite
Set the display label for the field,Aseta kentän näyttötarra
Unsupported File Format,Ei-tuettu tiedostomuoto
Two Factor Authentication,Kaksi tekijän todentamista
Specify the value of the field,Määritä kentän arvo
Frappe Framework,Frappe-kehys
Commented on {0}: {1},Kommentoitu {0}: {1}
Set Value,Aseta arvo
Show all Versions,Näytä kaikki versiot
Submit,Lähetä
This may get printed on multiple pages,Tämä voi olla tulostettu useille sivuille
Get your globally recognized avatar from Gravatar.com,Hanki maailmanlaajuisesti tunnustettu avatarisi Gravatar.comista
Client ID,Asiakastunnus
Default Letter Head,Oletuskirje
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Säännöt siitä, miten tilat ovat siirtymiä, kuten seuraava tila ja mikä rooli on sallittu vaihtaa tilaa jne."
ESC,POISTU
"States for workflow (e.g. Draft, Approved, Cancelled).","Valtiot työnkulkuun (esim. Luonnos, hyväksytty, peruutettu)."
Today,Tänään
Notification,ilmoitus
Show only errors,Näytä vain virheet
Review,Arvostelu
Rows Removed,Rivit poistettu
Google Credentials,Google-tunnukset
Or login with,Tai kirjaudu sisään
Record does not exist,Tietue ei ole olemassa
New Report name,Uusi raportin nimi
leaf,puun lehti
Invalid Outgoing Mail Server or Port,Virheellinen lähtevän postin palvelin tai portti
Email Server,Sähköpostipalvelin
For,varten
Recipient Unsubscribed,Vastaanottaja peruutettu
Download Data,Lataa tiedot
Unknown Print Format: {0},Tuntematon tulostusmuoto: {0}
Search or Create a New Chat,Etsi tai luo uusi chat
Draft,Laatia
Assignment Rule User,Määrityssäännön käyttäjä
Madam,Rouva
Custom Reports,Mukautetut raportit
{0} cannot be set for Single types,{0} ei voi asettaa yksittäisille tyypeille
Base URL,Perus-URL-osoite
Web View,Web-näkymä
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","luodaan. Jos viive on viivästynyt, sinun on vaihdettava manuaalisesti kentän &quot;Toista päivä kuukaudessa&quot; kenttä"
Creating {0},{0} luominen
List,Lista
th-large,th-iso
{0}: Cannot set Assign Submit if not Submittable,"{0}: Ei voi asettaa Assign Submit -toimintoa, jos ei Submittable"
Not Linked to any record,Ei linkitetty mihinkään tietueeseen
Content,pitoisuus
Allow Self Approval,Salli itsensä hyväksyntä
Page has expired!,Sivu on vanhentunut!
Created By,Luonut
Unread Notification Sent,Lukematon ilmoitus lähetetty
Validity,voimassaolo
Leave blank for new records,Jätä tyhjäksi uusia tietueita
Attached To Field,Liitetyt kenttään
Rename many items by uploading a .csv file.,Nimeä useita kohteita uudelleen lähettämällä .csv-tiedosto.
Optional: The alert will be sent if this expression is true,"Valinnainen: hälytys lähetetään, jos tämä ilmaisu on totta"
Backup job is already queued. You will receive an email with the download link,"Varmuuskopiointi on jo jonossa. Saat sähköpostiviestin, jossa on latauslinkki"
SMS Parameter,SMS-parametri
hand-right,hand-oikeus
Banner is above the Top Menu Bar.,Banner on ylävalikkopalkin yläpuolella.
Invalid Password,väärä salasana
1 month ago,1 kuukausi sitten
App Client ID,Sovelluksen asiakastunnus
Currency,valuutta
Banner,lippu
Document Type,dokumentti tyyppi
Folder name should not include '/' (slash),Kansiossa ei pitäisi olla &#39;/&#39; (kauttaviiva)
Simultaneous Sessions,Samanaikaiset istunnot
Add a new section,Lisää uusi osa
Goal,tavoite
CSS,CSS
"If a Role does not have access at Level 0, then higher levels are meaningless.","Jos roolilla ei ole pääsyä tasolle 0, niin korkeammat tasot ovat merkityksettömiä."
Reference Type,Viitetyyppi
"Allowing DocType, DocType. Be careful!","Sallii DocType, DocType. Ole varovainen!"
Domain Settings,Verkkotunnuksen asetukset
Dynamic Report Filters,Dynaamisen raportin suodattimet
Appreciation,arvostus
{0} must be set first,{0} on asetettava ensin
Chat Room Name,Chat-huoneen nimi
Res: {0},Res: {0}
Single Post (article).,Single Post (artikkeli).
Unzipped {0} files,Pura {0} tiedostot
Report Manager,Raportinhallinta
Link Title,Linkin nimi
Failed while amending subscription,Tilaa muutettaessa epäonnistui
Share {0} with,Jaa {0} kanssa
Amount,Määrä
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,"Etsimäsi sivu puuttuu. Tämä voi johtua siitä, että se siirretään tai linkissä on virhe."
Medium,keskikokoinen
Send only if there is any data,"Lähetä vain, jos tietoja on"
Continue,Jatkaa
LDAP Settings,LDAP-asetukset
Webhook Request,Webhook-pyyntö
Assignment Completed,Tehtävä on valmis
Relink,linkittää
Please save the document before assignment,Tallenna asiakirja ennen osoitusta
Meeting,Tapaaminen
DocType or Field,DocType tai Field
Reverse Icon Color,Käänteinen kuvakkeen väri
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Tallentaa eri asennettujen sovellusten viimeisten tunnettujen versioiden JSON. Sitä käytetään julkaisutietojen näyttämiseen.
Enable Scheduled Jobs,Ota ajoitetut työt käyttöön
Invalid Mail Server. Please rectify and try again.,Virheellinen sähköpostipalvelin. Korjaa ja yritä uudelleen.
More content for the bottom of the page.,Lisää sisältöä sivun alareunaan.
You are not allowed to delete a standard Website Theme,Et voi poistaa standardia Web-sivuston teemaa
Please attach an image file to set HTML,"Liitä kuvatiedosto, jos haluat asettaa HTML-koodin"
Not Equals,Ei ole yhtä suuri
Document Status,Asiakirjan tila
Seen By Table,Taulukon mukaan
"Email ID must be unique, Email Account already exists \
				for {0}","Sähköpostitunnuksen on oltava yksilöllinen, sähköpostitili on jo olemassa {0}"
{0} available out of {1},{0} saatavilla {1}
Select Document Type or Role to start.,Valitse aloittaa dokumenttityyppi tai rooli.
us-west-2,us-länsi-2
"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')",Muuta kentän tyyppiä. (Tällä hetkellä tyypin muutos on \ t
Is Single,On Single
Create a New Format,Luo uusi muoto
Endpoint URL,Endpoint-URL-osoite
Google,Google
Department,osasto
Please add a subject to your email,Lisää aihe sähköpostiisi
exclamation-sign,huudahdus-merkki
Average,Keskiverto
ok-sign,ok-merkki
Red,Punainen
"If checked, all other workflows become inactive.","Jos tämä on valittuna, kaikki muut työnkulut tulevat pois käytöstä."
New Email Account,Uusi sähköpostitili
Assign To,Määritä
List Filter,Luettelosuodatin
Chart,Kartoittaa
Cannot Remove,Ei voi poistaa
Submit this document to confirm,Vahvista tämä asiakirja
{0} already exists. Select another name,{0} on jo olemassa. Valitse toinen nimi
You have unsaved changes in this form. Please save before you continue.,Sinulla on tallentamattomia muutoksia tähän lomakkeeseen. Tallenna ennen kuin jatkat.
Action Failed,Toimi epäonnistui
Actions,Toimet
Applicable Document Types,Sovellettavat asiakirjatyypit
circle-arrow-right,ympyrä-nuoli-oikealle
Searching,tutkiva
tint,sävyttää
{0} months ago,{0} kuukautta sitten
Use socketio to upload file,Lataa tiedosto tiedostoon socketio
Password,Salasana
Skype,skype
Open your authentication app on your mobile phone.,Avaa todennusohjelma matkapuhelimellasi.
Customized HTML Templates for printing transactions.,Mukautetut HTML-mallit tulostustapahtumia varten.
End Date cannot be before Start Date!,Lopetuspäivä ei voi olla ennen alkamispäivää!
In Preview,Esikatselussa
and uncheck Disabled in the Auto Repeat document,ja poista valintaruutu Poista käytöstä -kohdassa Auto Repeat -asiakirjassa
File Upload in Progress. Please try again in a few moments.,Tiedoston lataaminen käynnissä. Yritä uudelleen hetken kuluttua.
Postal Code,postinumero
Workflow State,Työnkulun tila
Tree,Puu
Milestone Tracker,Milestone Tracker
Your subscription will expire tomorrow.,Tilaus päättyy huomenna.
Address Title,Osoiteosoite
Message Parameter,Viestiparametri
File size exceeded the maximum allowed size of {0} MB,Tiedoston koko ylitti sallitun {0} MB: n koon
Login and view in Browser,Kirjaudu ja näytä selaimessa
Define workflows for forms.,Määritä lomakkeiden työnkulut.
Music,musiikki
Re: {0},Re: {0}
Report {0} is disabled,Raportti {0} on poistettu käytöstä
Theme Colors,Teemavärit
Use this fieldname to generate title,Tämän kentän nimen avulla voit luoda otsikon
Payments,maksut
Add Filter,Lisää suodatin
Status: {0},Tila: {0}
Beta,Beeta
Target,Kohde
This could be because of some invalid Email Addresses in the,Tämä voi johtua virheellisistä sähköpostiosoitteista
Is Completed,On suoritettu
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,Sähköpostitiliä ei ole määritetty. Luo uusi sähköpostitili Asetukset&gt; Sähköposti&gt; Sähköpostitili
Your Language,Sinun kielesi
Advanced,Pitkälle kehittynyt
Like,Kuten
Add / Manage Email Domains.,Lisää / hallinnoi sähköpostiosoitteita.
Last Week,Viime viikko
Press Esc to close,Sulje painamalla Esc-näppäintä
Submitted Document cannot be converted back to draft. Transition row {0},Lähetettyä asiakirjaa ei voi muuntaa takaisin luonnokseksi. Siirtymisrivi {0}
Hide Footer Signup,Piilota alatunnisteiden rekisteröinti
No data found in the file. Please reattach the new file with data.,Tiedostossa ei ole tietoja. Aseta uusi tiedosto uudelleen tietoihin.
Fieldname {0} conflicting with meta object,Kentänimi {0} on ristiriidassa meta-objektin kanssa
Document Types,Asiakirjan tyypit
Condition,Kunto
Stop,Stop
Send days before or after the reference date,Lähetä päivää ennen viiteajankohtaa tai sen jälkeen
Email Group List,Sähköpostiryhmäluettelo
us-east-1,us-itä-1
If you don't want to create any new records while updating the older records.,Jos et halua luoda uusia tietoja vanhempien tietueiden päivittämisen aikana.
Capitalization doesn't help very much.,Kapitalisointi ei auta kovinkaan paljon.
Hide field in form,Piilota kenttä muodossa
ok-circle,OK-ympyrä
Send Notifications for Email threads,Lähetä sähköpostiviestien ilmoituksia
Client Key,Asiakkaan avain
Rule Name,Säännön nimi
Unique,Ainutlaatuinen
Series,Sarja
Amount Field,Summa-kenttä
Select Document Type,Valitse Asiakirjan tyyppi
Cannot connect: {0},Ei voi muodostaa yhteyttä: {0}
Report End Time,Raportin päättymisaika
Cancelling {0},Peruuttaminen {0}
Roles Assigned,Roolit määritetty
User Permissions are used to limit users to specific records.,Käyttäjäoikeuksia käytetään rajoittamaan käyttäjiä tiettyihin tietueisiin.
Report Start Time,Raportin aloitusaika
GCalendar Sync ID,GCalendar-synkronointitunnus
renamed from {0} to {1},nimeksi {0} - {1}
Insert new records,Lisää uusia tietoja
Razorpay Settings,Razorpay-asetukset
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","Jos päivität, valitse &quot;Overwrite&quot;. Muita olemassa olevia rivejä ei poisteta."
There were errors,Oli virheitä
Display,Näyttö
Reply All,Vastaa kaikille
Subject Field,Aihe-kenttä
Session Expiry must be in format {0},Istunnon päättymisen tulee olla muodossa {0}
zoom-in,lähennä
Failed to connect to server,Yhteyttä palvelimeen ei voitu muodostaa
Date {0} must be in format: {1},Päivämäärän {0} on oltava muodossa: {1}
Renew / Upgrade,Päivitä / päivitä
Cannot create a {0} against a child document: {1},{0} ei voi luoda lapsi-asiakirjaa vastaan: {1}
Select Child Table,Valitse lapsitaulukko
Link DocType,Linkitä DocType
Mark the field as Mandatory,Merkitse kenttä pakolliseksi
Cannot have multiple printers mapped to a single print format.,"Ei voi olla useita tulostimia, jotka on kartoitettu yhteen tulostusmuotoon."
Test_Folder,Test_Folder
Icon will appear on the button,Kuvake näkyy painikkeessa
Set Role For,Aseta rooli
No Email Accounts Assigned,Ei sähköpostitilejä
Assignment,toimeksianto
gained by {0} via automatic rule {1},{0} saavutti automaattisen säännön {1}
Portal,Portaali
Thank you for your email,Kiitos sähköpostistasi
Attach files / urls and add in table.,Liitä tiedostot / URL-osoitteet ja lisää taulukko.
Progress,edistyminen
Report updated successfully,Raportti päivitetty onnistuneesti
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",1 Valuutta = [?] Fraktio Esim. 1 USD = 100 Cent
screenshot,kuvakaappaus
Reference Party,Viitekumppani
Chart Name,Kaavion nimi
Show Relapses,Näytä relapsit
Markdown Editor,Markdown Editor
Label and Type,Tunniste ja tyyppi
Currency Precision,Valuutta Tarkkuus
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Tasojen 0 luvut ovat Asiakirjan tason oikeudet, eli ne ovat ensisijaisia asiakirjan käyttöoikeuden saamiseksi."
GSuite Settings,GSuite-asetukset
Remote,Etä
Thumbnail URL,Pienoiskuvan URL-osoite
Download Report,Lataa raportti
Customizations for <b>{0}</b> exported to:<br>{1},<b>{0}: lle</b> vietyjä mukautuksia: <br> {1}
Calendar Name,Kalenterin nimi
Your login id is,Käyttäjätunnuksesi on
Filters Display,Suodattimien näyttö
{0} criticized {1},{0} arvosteli {1}
Jinja,Jinja
Confirm Request,Vahvistuspyyntö
