Connector Type,Цоннецтор Типе
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Ако преносите нове записе, &quot;Наминг Сериес&quot; постаје обавезан, ако је присутан."
Edit Properties,Едит Пропертиес
Cannot open instance when its {0} is open,Не може се отворити инстанца када је њен {0} отворен
Timeline Name,Име временске линије
Workflow,Процес рада
Please set Base URL in Social Login Key for Frappe,Молимо поставите основни УРЛ у Социал Логин Кеи за Фраппе
Custom Menu Items,Цустом Мену Итемс
Length of {0} should be between 1 and 1000,Дужина од {0} треба да буде између 1 и 1000
Connection lost. Some features might not work.,Конекција изгубљена. Неке функције можда неће радити.
LDAP is not enabled.,ЛДАП није омогућен.
Every Year,Сваке године
Feedback Submitted,Феедбацк Субмиттед
Allow Comments,Дозволи коментаре
Show Title,Прикажи наслов
Not Saved,Нот Савед
Can Write,Цан Врите
Main Section,Маин Сецтион
Enabled email inbox for user {0},Омогућена е-пошта за корисника {0}
Current Mapping Delete Start,Цуррент Маппинг Обриши Старт
Client side script extensions in Javascript,Додаци скрипти на страни клијента у Јавасцрипт-у
Reference Report,Референце Репорт
Could not find {0},Није могуће пронаћи {0}
Start,Почетак
Missing Fields,Недостају поља
File Backup,Филе Бацкуп
