Connector Type,connector အမျိုးအစား
{0} has left the conversation in {1} {2},{0} {1} {2} အတွက်စကားဝိုင်းမှထွက်ခွာခဲ့ပါသည်
PDF Settings,PDF ဖိုင်က Settings
Next Schedule Date,Next ကိုဇယားနေ့စွဲ
For Value,Value ကိုများအတွက်
Update records,Update ကိုမှတ်တမ်းများ
Attach Your Picture,သင့်ရဲ့ရုပ်ပုံပူးတွဲ
question-sign,ဆိုတဲ့မေးခွန်းကို-နိမိတ်လက္ခဏာ
cn-northwest-1,CN-အနောက်မြောက်ဘက်-1
Read by Recipient,လက်ခံသူများက Read
Is Custom Field,စိတ်တိုင်းကျကွင်းဆင်း Is
{0} un-shared this document with {1},{0} {1} နှင့်အတူဤစာရွက်စာတမ်းကို un-shared
Track Changes,track အပြောင်းအလဲများ
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","နှိုင်းယှဉ်မှုအတွက်&gt; 5, &lt;10 သို့မဟုတ် = 324 အသုံးပြုခြင်း။ အပိုင်းအခြားများအတွက်, (5 &amp; 10 အကြားတန်ဖိုးများကိုများအတွက်) 5:10 သုံးပါ။"
Get Fields,Fields get
Filter must be a tuple or list (in a list),filter (ကစာရင်းထဲတွင်) တစ်ဦး tuple သို့မဟုတ်စာရင်းဖြစ်ရမည်
Print Style Preview,ပုံနှိပ်ပါစတိုင်ကို Preview
Host,host က
Max width for type Currency is 100px in row {0},အမျိုးအစားငွေကြေးစနစ်များအတွက် max width ကိုအတန်းအတွက် 100px {0} ဖြစ်ပါသည်
Rule,အုပ်ချုပ်
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} &quot;{2}&quot; မဖြစ်နိုင်ပါ။ ဒါဟာ &quot;{3}&quot; ၏တဦးတည်းဖြစ်သင့်တယ်
OAuth Bearer Token,OAuth Bearer တိုကင်
Setup Wizard,Setup Wizard &#39;
Toggle Chart,ခလုတ်ဇယား
Current Mapping Action,လက်ရှိမြေပုံလှုပ်ရှားမှု
Initial Sync Count,ကနဦး Sync ကိုအရေအတွက်
Settings for Contact Us Page.,ကြှနျုပျတို့ကိုဆကျသှယျရနျစာမျက်နှာအတွက်ဆက်တင်များ။
Printing failed,ပုံနှိပ်ပျက်ကွက်
You can't set 'Translatable' for field {0},သင် {0} လယ်ကွင်းများအတွက် &#39;&#39; ဘာသာပြန်ချက် &#39;&#39; မသတ်မှတ်နိုင်
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,ဝမ်းနည်းပါတယ်။ သင်သည်သင်၏စာရင်းပေးသွင်းခြင်းအတွက်အများဆုံးအသုံးပြုသူန့်သတ်ချက်ရောက်ရှိခဲ့ပါပြီ။ သငျသညျရှိပြီးသားအသုံးပြုသူကို disable သို့မဟုတ်မြင့်မားကြေးပေးသွင်းအစီအစဉ်ကိုဝယ်နိုင်ဖြစ်စေ။
Old Password Required.,ဟောငျး Password ကိုတောင်းဆိုနေတဲ့။
Backup Limit,Backup ကိုကန့်သတ်
Liked by {0},{0} များကကြိုက်နှစ်သက်ခဲ့သော
Left,လက်ဝဲ
Background Jobs,နောက်ခံသမိုင်းဂျော့ဘ်
Files Size:,ဖိုင်အရွယ်အစား:
Enable,Enable
GSuite script test,GSuite script ကိုစမ်းသပ်
Integration Request,ပေါင်းစည်းရေးတောင်းဆိုခြင်း
You need to be logged in to access this {0}.,သငျသညျ {0} ဤဝင်ရောက်ဖို့အတွက် logged ခံရဖို့လိုအပ်ပါတယ်။
Time Zones,အချိန်ဇုန်များ
View {0},ကြည့်ရန် {0}
Allow Login using User Name,ဝင်မည်အသုံးပြုသူအမည်သုံးပြီး Allow
heart,နှလုံး
More,နောက်ထပ်
Posts,စာတိုက်
You are not allowed to print this report,သငျသညျဤအစီရင်ခံစာ print ထုတ်ခွင့်ပြုခဲ့ကြသည်မဟုတ်
Ctrl + Up,ကို Ctrl + Up ကို
Unable to load camera.,ကင်မရာကိုတင်မပေးနိုင်ပါ။
Monday,တနင်္လာနေ့
Charts,ဇယား
Set Permissions on Document Types and Roles,စာရွက်စာတမ်းအမျိုးအစားများနှင့်အခန်းကဏ္ဍအပေါ် set ခွင့်ပြုချက်များ
You can add dynamic properties from the document by using Jinja templating.,သငျသညျ Jinja template ကို အသုံးပြု. စာရွက်စာတမ်းထံမှပြောင်းလဲနေသောဂုဏ်သတ္တိများထည့်သွင်းနိုင်ပါတယ်။
Frappe,Frappe
Select File Format,File Format ကိုရွေးချယ်ပါ
SMTP Server,SMTP ဆာဗာ
Pending,လာမည့်
Add,ပေါင်း
See on Website,ဝက်ဘ်ဆိုက်ပေါ်တွင်ကြည့်ရှုပါ
Invalid Home Page,မှားနေသောမူလစာမျက်နှာစာမျက်နှာ
Print Format Type,ပုံနှိပ်ပါစီစဉ်ဖွဲ့စည်းမှုပုံစံအမျိုးအစား
No Permissions set for this criteria.,အဘယ်သူမျှမခွင့်ပြုချက်များကဤစံနှုန်းများသတ်မှတ်ထားသည်။
Expand All,အားလုံး Expand
Tag Doc Category,Tag ကို Doc Category:
Generated File,generated ဖိုင်မှတ်တမ်း
Notes,မှတ်စုများ
Mark as Done,ပြီးပြီအဖြစ်မာ့ခ်
Timeline field must be a Link or Dynamic Link,Timeline ကိုလယ် Link ကိုသို့မဟုတ် Dynamic Link ကိုသူဖြစ်ရမည်
Notifications and bulk mails will be sent from this outgoing server.,အသိပေးချက်များနှင့်အမြောက်အများမေးလ်ကဒီအထွက် server မှစလှေတျတျောလိမ့်မည်။
This is a top-100 common password.,ဒါကထိပ်တန်း-100 ဘုံစကားဝှက်ဖြစ်ပါတယ်။
Permanently Submit {0}?,အမြဲတမ်း {0} Submit?
"{0} {1} does not exist, select a new target to merge","{0} {1} ပေါင်းစည်းရန်, တည်ရှိနေသစ်တစ်ခုပစ်မှတ်ကို select ပါဘူး"
Multiplier Field,မြှောက်ကိန်းဖျော်ဖြေမှု
Workflow State Field,လုပ်ငန်းအသွားအလာပြည်နယ်ကွင်းဆင်း
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","ဆာဗာ၏ braintree configuration နဲ့အတူပြဿနာရှိပုံရသည်။ ပမာဏကိုသင့်အကောင့်ပြန်အမ်းရလိမ့်မည်, ကျရှုံးခြင်း၏အမှု၌, မစိုးရိမ်ပါနဲ့။"
Send alert if this field's value changes,ဒီလယ်ကွင်းရဲ့တန်ဖိုးကိုအပြောင်းအလဲများကိုလျှင်သတိပေးချက် Send
Auto Repeat,အော်တိုထပ်ခါတလဲလဲ
Invalid Credentials,မှားနေသောသံတမန်ဆောင်ဧည်
Subsidiary,ထောက်ခံသောကုမ္ပဏီ
Please select the Document Type.,အဆိုပါစာရွက်စာတမ်းအမျိုးအစားတစ်ခုကိုရွေးပါ။
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","အမည်မသိဖိုင် encoding က။ UTF-8, ပြတင်းပေါက်-1250, ပြတင်းပေါက်-1252 ကြိုးစားခဲ့သည်။"
The process for deletion of {0} data associated with {1} has been initiated.,{1} အစပျိုးခဲ့ပြီးနဲ့ဆက်စပ် {0} အချက်အလက်များ၏ဖျက်မှုများအတွက်လုပ်ငန်းစဉ်။
