Connector Type,커넥터 유형
"Filtered by ""{0}""",&quot;{0}&quot;에 의해 필터링 됨
Hide Copy,사본 숨기기
Friday,금요일
User,사용자
Monthly,월간 간행물
Filter Values,필터 값
LDAP Server Url,LDAP 서버 URL
Destination ID,목적지 ID
Fieldname not set for Custom Field,사용자 정의 필드에 필드 이름이 설정되지 않았습니다.
e.g. replies@yourcomany.com. All replies will come to this inbox.,예 : replies@yourcomany.com. 모든 답장이이받은 편지함으로옵니다.
Standard Print Style cannot be changed. Please duplicate to edit.,표준 인쇄 스타일은 변경할 수 없습니다. 편집하려면 복제하십시오.
Title Field,제목 입력란
Could not connect to outgoing email server,보내는 전자 메일 서버에 연결할 수 없습니다.
File URL,파일 URL
Likes,좋아요
You need to be logged in and have System Manager Role to be able to access backups.,백업에 액세스하려면 로그인하고 System Manager 역할이 있어야합니다.
First Level,1 급
Short Name,짧은 이름
Permission Rules,사용 권한 규칙
Row No,행 번호
Email Group Member,이메일 그룹 회원
Cannot {0} {1},{0} {1} 할 수 없습니다.
Please select DocType first,먼저 DocType을 선택하십시오.
Spam,스팸
Google Services,Google 서비스
Save,구하다
Website Sidebar,웹 사이트 사이드 바
No permission for {0},{0}에 대한 권한이 없습니다.
Your payment has been successfully registered.,지불이 성공적으로 등록되었습니다.
Import Zip,우편 번호 가져 오기
Gender,성별
thumbs-down,엄지 아래로
SEO,서재응
Queue should be one of {0},대기열은 {0} 중 하나 여야합니다.
Cannot set Notification on Document Type {0},문서 유형 {0}에 대한 알림을 설정할 수 없습니다.
Adding System Manager to this User as there must be atleast one System Manager,적어도 하나의 시스템 관리자가 있어야하므로이 사용자에게 시스템 관리자 추가
Welcome email sent,환영 전자 메일을 보냈습니다.
Chaining Hash,체이닝 해시
Maintenance Manager,유지 보수 관리자
show,보여 주다
Share URL,공유 URL
Set the display label for the field,필드의 표시 레이블 설정
Unsupported File Format,지원되지 않는 파일 형식
Two Factor Authentication,2 요소 인증
Specify the value of the field,입력란의 값을 지정하십시오.
Frappe Framework,Frappe Framework
Commented on {0}: {1},{0}에 댓글이 달렸습니다 : {1}
Set Value,설정 값
Show all Versions,모든 버전 표시
Submit,제출
This may get printed on multiple pages,여러 페이지에 인쇄 될 수 있습니다.
Get your globally recognized avatar from Gravatar.com,Gravatar.com에서 세계적으로 유명한 아바타를 만나보세요.
Client ID,클라이언트 ID
Default Letter Head,기본 편지 머리
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",다음 상태와 같은 상태 전환 및 상태 변경을 허용하는 역할에 대한 규칙
ESC,ESC
"States for workflow (e.g. Draft, Approved, Cancelled).","워크 플로우 상태 (예 : 초안, 승인 됨, 취소됨)."
Today,오늘
Notification,공고
Show only errors,오류 만 표시
Review,리뷰
Rows Removed,제거 된 행
Google Credentials,Google 자격증 명
Or login with,또는으로 로그인
Record does not exist,레코드가 존재하지 않습니다.
New Report name,새 보고서 이름
leaf,잎
Invalid Outgoing Mail Server or Port,잘못된 보내는 메일 서버 또는 포트
Email Server,이메일 서버
For,에 대한
Recipient Unsubscribed,수신자가 구독 취소되었습니다.
Download Data,데이터 다운로드
Unknown Print Format: {0},알 수없는 인쇄 형식 : {0}
Search or Create a New Chat,새 채팅 검색 또는 만들기
Draft,초안
Assignment Rule User,할당 규칙 사용자
Madam,마님
Custom Reports,맞춤 보고서
{0} cannot be set for Single types,단일 유형에는 {0}을 (를) 설정할 수 없습니다.
Base URL,기본 URL
Web View,웹보기
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this",생성 될 수 있습니다. 지체 된 경우이 작업의 &quot;월간 반복&quot;필드를 수동으로 변경해야합니다.
Creating {0},{0} 생성 중
List,명부
th-large,th-large
{0}: Cannot set Assign Submit if not Submittable,{0} : 제출 가능하지 않으면 할당 제출을 설정할 수 없습니다.
Not Linked to any record,모든 레코드에 연결되지 않음
Content,함유량
Allow Self Approval,자체 승인 허용
Page has expired!,페이지가 만료되었습니다.
Created By,작성자
Unread Notification Sent,읽지 않은 알림을 보냈습니다.
Validity,효력
Leave blank for new records,새 레코드는 비워 두십시오.
Attached To Field,필드에 연결됨
Rename many items by uploading a .csv file.,.csv 파일을 업로드하여 많은 항목의 이름을 바꿉니다.
Optional: The alert will be sent if this expression is true,선택 사항 :이 표현식이 참일 경우 경고가 전송됩니다.
Backup job is already queued. You will receive an email with the download link,백업 작업이 이미 대기 중입니다. 다운로드 링크가있는 이메일을 받게됩니다.
SMS Parameter,SMS 매개 변수
hand-right,오른 손잡이
Banner is above the Top Menu Bar.,배너가 톱 메뉴 바 위에 있습니다.
Invalid Password,잘못된 비밀번호
1 month ago,1 개월 전
App Client ID,앱 클라이언트 ID
Currency,통화
Banner,기치
Document Type,문서 유형
Folder name should not include '/' (slash),폴더 이름에 &#39;/&#39;(슬래시)를 포함하면 안됩니다.
Simultaneous Sessions,동시 세션
Add a new section,새 섹션 추가
Goal,골
CSS,CSS
"If a Role does not have access at Level 0, then higher levels are meaningless.",역할에 수준 0의 액세스 권한이없는 경우 상위 수준은 의미가 없습니다.
Reference Type,참조 유형
"Allowing DocType, DocType. Be careful!","DocType, DocType 허용. 조심해!"
Domain Settings,도메인 설정
Dynamic Report Filters,동적 보고서 필터
Appreciation,감사
{0} must be set first,먼저 {0}을 설정해야합니다.
Chat Room Name,대화방 이름
Res: {0},해상도 : {0}
Single Post (article).,단일 게시물 (기사).
Unzipped {0} files,압축되지 않은 {0} 파일
Report Manager,보고서 관리자
Link Title,링크 제목
Failed while amending subscription,구독 수정 중 오류가 발생했습니다.
Share {0} with,{0}과 (과) 공유하십시오.
Amount,양
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,찾고있는 페이지가 없습니다. 이것은 이동되었거나 링크에 오타가 있기 때문일 수 있습니다.
Medium,매질
Send only if there is any data,데이터가있는 경우에만 보내기
Continue,잇다
LDAP Settings,LDAP 설정
Webhook Request,Webhook 요청
Assignment Completed,과제 완료 됨
Relink,다시 링크
Please save the document before assignment,과제 이전에 문서를 저장하십시오.
Meeting,모임
DocType or Field,DocType 또는 필드
Reverse Icon Color,아이콘 색상 반전
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,여러 가지 설치된 앱의 마지막으로 알려진 버전의 JSON을 저장합니다. 릴리스 정보를 표시하는 데 사용됩니다.
Enable Scheduled Jobs,예약 된 작업 사용
Invalid Mail Server. Please rectify and try again.,잘못된 메일 서버입니다. 수정하여 다시 시도하십시오.
More content for the bottom of the page.,페이지 하단에 더 많은 콘텐츠가 있습니다.
You are not allowed to delete a standard Website Theme,표준 웹 사이트 테마를 삭제할 수 없습니다.
Please attach an image file to set HTML,이미지 파일을 첨부하여 HTML을 설정하십시오.
Not Equals,같지 않음
Document Status,문서 상태
Seen By Table,표로 본
"Email ID must be unique, Email Account already exists \
				for {0}",전자 메일 ID는 고유해야하며 전자 메일 계정은 이미 존재합니다 \ {0}
{0} available out of {1},{1}에서 사용할 수있는 {0}
Select Document Type or Role to start.,시작할 문서 유형 또는 역할을 선택하십시오.
us-west-2,우리 - 서쪽 -2
"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')","필드의 유형을 변경하십시오. (현재, &#39;Currency and Float&#39;중에 유형 변경이 \ 허용됨)"
Is Single,싱글
Create a New Format,새 형식 만들기
Endpoint URL,엔드 포인트 URL
Google,Google
Department,학과
Please add a subject to your email,이메일에 제목을 추가하십시오.
exclamation-sign,감탄 부호
Average,평균
ok-sign,확인 표시
Red,빨간
"If checked, all other workflows become inactive.",이 옵션을 선택하면 다른 모든 워크 플로우가 비활성화됩니다.
New Email Account,새 이메일 계정
Assign To,할당 대상
List Filter,목록 필터
Chart,차트
Cannot Remove,제거 할 수 없음
Submit this document to confirm,확인을 위해이 문서를 제출하십시오.
{0} already exists. Select another name,{0}이 (가) 이미 있습니다. 다른 이름 선택
You have unsaved changes in this form. Please save before you continue.,이 양식에 변경 사항을 저장하지 않았습니다. 계속하기 전에 저장하십시오.
Action Failed,작업 실패
Actions,행위
Applicable Document Types,적용 가능한 문서 유형
circle-arrow-right,원 - 오른쪽 화살표
Searching,수색
tint,색조
{0} months ago,{0} 개월 전
Use socketio to upload file,파일을 업로드하려면 socketio를 사용하십시오.
Password,암호
Skype,Skype
Open your authentication app on your mobile phone.,휴대 전화에서 인증 앱을 엽니 다.
Customized HTML Templates for printing transactions.,인쇄 거래를위한 맞춤형 HTML 템플릿.
End Date cannot be before Start Date!,끝 날짜는 시작 날짜 이전 일 수 없습니다!
In Preview,미리보기에서
and uncheck Disabled in the Auto Repeat document,자동 반복 문서에서 사용 안 함을 선택 취소하십시오.
File Upload in Progress. Please try again in a few moments.,진행중인 파일 업로드. 잠시 후 다시 시도하십시오.
Postal Code,우편 번호
Workflow State,워크 플로 상태
Tree,나무
Milestone Tracker,마일스톤 트래커
Your subscription will expire tomorrow.,귀하의 가입은 내일 만료됩니다.
Address Title,주소 제목
Message Parameter,메시지 매개 변수
File size exceeded the maximum allowed size of {0} MB,파일 크기가 {0} MB의 허용 된 최대 크기를 초과했습니다.
Login and view in Browser,브라우저에서 로그인 및보기
Define workflows for forms.,양식에 대한 워크 플로를 정의하십시오.
Music,음악
Re: {0},재 : {0}
Report {0} is disabled,보고서 {0}이 비활성화되었습니다.
Theme Colors,테마 색
Use this fieldname to generate title,제목을 생성하려면이 fieldname을 사용하십시오.
Payments,지불
Add Filter,필터 추가
Status: {0},상태 : {0}
Beta,베타
Target,목표
This could be because of some invalid Email Addresses in the,이메일 주소의 일부 이메일 주소가 잘못되었을 수 있습니다.
Is Completed,완성 됐습니다
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,이메일 계정이 설정되지 않았습니다. 설정&gt; 이메일&gt; 이메일 계정에서 새 이메일 계정을 만드십시오.
Your Language,당신의 언어
Advanced,많은
Like,처럼
Add / Manage Email Domains.,이메일 도메인 추가 / 관리.
Last Week,지난주
Press Esc to close,닫으려면 Esc 키를 누릅니다.
Submitted Document cannot be converted back to draft. Transition row {0},제출 된 문서는 초안으로 다시 변환 할 수 없습니다. 전환 행 {0}
Hide Footer Signup,바닥 글 가입 숨기기
No data found in the file. Please reattach the new file with data.,파일에서 데이터를 찾을 수 없습니다. 새 파일을 데이터로 다시 첨부하십시오.
Fieldname {0} conflicting with meta object,필드 이름 {0}은 (는) 메타 객체와 충돌합니다.
Document Types,문서 유형
Condition,조건
Stop,중지
Send days before or after the reference date,참조 날짜 전후의 날짜 전송
Email Group List,이메일 그룹 목록
us-east-1,우리 - 동쪽 - 1
